site_name,image_date,image_product,class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,geometry
Gulkana,20210610,Landsat,1,1.4164425,1.4430625,1.41647,1.37742,1.15401,0.300135,0.3001075,0.972895,0.650315594,POINT (-145.4612604471303 63.283919221493875)
Gulkana,20210610,Landsat,1,1.4256825,1.4524675,1.41878,1.382425,1.1546975,0.22935,0.2354825,0.975095,0.721684576,POINT (-145.46189782205974 63.285808875196814)
Gulkana,20210610,Landsat,1,1.4426775,1.471745,1.4493875,1.41581,1.1804375,0.23716,0.2405975,0.97713,0.718762739,POINT (-145.4666872965799 63.2836454799311)
Gulkana,20210610,Landsat,1,1.42307,1.4495525,1.4196325,1.3830025,1.143175,0.2148025,0.2236025,0.9784225,0.737153818,POINT (-145.4540620823419 63.28051874490657)
Gulkana,20210610,Landsat,1,1.403985,1.431705,1.3995575,1.3618,1.13113,0.2174975,0.2250875,0.97702,0.730995544,POINT (-145.474203837601 63.28106816015871)
Gulkana,20210610,Landsat,1,1.4095675,1.4351425,1.405305,1.3676025,1.1304975,0.2165075,0.2229975,0.9767725,0.733005511,POINT (-145.47973492832398 63.27880152957902)
Gulkana,20210610,Landsat,1,1.39711,1.427635,1.4020325,1.37258,1.145595,0.21901,0.22429,0.97581,0.729791168,POINT (-145.4160205631142 63.29239435920064)
Gulkana,20210610,Landsat,1,1.396285,1.420815,1.39359,1.35938,1.1251625,0.2129875,0.2217325,0.9773775,0.734855617,POINT (-145.4173505294339 63.29506719714897)
Gulkana,20210610,Landsat,1,1.32055,1.3460425,1.293765,1.2572175,1.03235,0.209275,0.2176075,0.974545,0.72153103,POINT (-145.42312864709646 63.29291620632905)
Gulkana,20210610,Landsat,1,1.3993925,1.4251875,1.39469,1.358335,1.1221375,0.2124375,0.221045,0.971905,0.735630807,POINT (-145.42292904742467 63.29656882343199)
Gulkana,20210610,Landsat,1,1.319505,1.3331175,1.2906025,1.243715,1.01838,0.212685,0.2211,0.9679725,0.717040154,POINT (-145.42501596513864 63.29891769919159)
Gulkana,20210610,Landsat,1,1.2066725,1.249325,1.257905,1.2461625,1.032735,0.21527,0.2201375,1.0043825,0.707746873,POINT (-145.4272038184789 63.256840135538226)
Gulkana,20210610,Landsat,1,1.188,1.232495,1.243385,1.23222,1.0333125,0.2140325,0.2213475,1.0098,0.706285261,POINT (-145.42870931054426 63.25803622889158)
Gulkana,20210610,Landsat,1,1.24212,1.282655,1.2825725,1.266265,1.0494275,0.2074325,0.2183225,0.9911,0.721568048,POINT (-145.42397149643367 63.25851462032322)
Gulkana,20210610,Landsat,1,1.186735,1.2298825,1.236345,1.2255925,1.0245125,0.205095,0.2222275,1.0003675,0.715430403,POINT (-145.4193740035515 63.25881749253757)
Gulkana,20210610,Landsat,1,1.2236125,1.2378575,1.1993575,1.1591525,0.952325,0.231495,0.23837,0.95656,0.676423671,POINT (-145.37979475215766 63.25507000117942)
Gulkana,20210610,Landsat,1,1.1986425,1.2095875,1.16864,1.1293425,0.9272725,0.2305325,0.2376825,0.94776,0.670473083,POINT (-145.37554004805807 63.256259973435846)
Gulkana,20210610,Landsat,1,1.1830225,1.192895,1.155055,1.1137775,0.9123675,0.2331175,0.2399375,0.942645,0.664137562,POINT (-145.37045913055454 63.25584805647626)
Gulkana,20210610,Landsat,1,1.21429,1.2296075,1.1902825,1.151205,0.94402,0.234465,0.2414225,0.939895,0.670867996,POINT (-145.37058449888036 63.258267443374336)
Gulkana,20210610,Landsat,1,1.21539,1.227105,1.19207,1.150765,0.9448175,0.245025,0.24882,0.9395375,0.658999579,POINT (-145.37151467791188 63.260342190733134)
Gulkana,20210610,Landsat,1,1.192015,1.1995225,1.157915,1.11243,0.9073625,0.2304225,0.2387,0.9519125,0.66805982,POINT (-145.3764076180993 63.25945448454298)
Gulkana,20210610,Landsat,1,1.2441275,1.2580975,1.217865,1.17656,0.9680825,0.2324025,0.239965,0.96096,0.679503954,POINT (-145.38185646424012 63.257983189912125)
Gulkana,20210610,Landsat,1,1.16171,1.168695,1.122935,1.0797875,0.8906425,0.2285525,0.2358125,0.9615375,0.661776376,POINT (-145.3847086557211 63.2561284061449)
Gulkana,20210610,Landsat,1,1.197405,1.2119525,1.1764225,1.139105,0.9399225,0.2357025,0.24255,0.9472925,0.66617332,POINT (-145.35346310024815 63.26013456546052)
Gulkana,20210610,Landsat,1,1.1813175,1.19757,1.168365,1.1278025,0.92389,0.2488475,0.253605,0.93555,0.648821189,POINT (-145.35581423837846 63.2579206997296)
Gulkana,20210610,Landsat,1,1.171885,1.1950675,1.174415,1.1390775,0.92136,0.234905,0.2405975,0.925155,0.666640649,POINT (-145.36018032585338 63.25478642871911)
Gulkana,20210610,Landsat,1,1.2027125,1.2267475,1.208735,1.1774675,0.96173,0.237875,0.243045,0.9309025,0.671127671,POINT (-145.35647137326438 63.25326928692352)
Gulkana,20210610,Landsat,1,1.17667,1.1912725,1.1572,1.1172975,0.9120925,0.238205,0.244695,0.92664,0.658586575,POINT (-145.35386580824053 63.25536226975413)
Gulkana,20210610,Landsat,1,1.178815,1.1907775,1.15159,1.1152625,0.9269425,0.24464,0.250745,0.9338175,0.649570629,POINT (-145.35007934397774 63.25750050083189)
Gulkana,20210610,Landsat,1,1.186075,1.1938025,1.15115,1.11001,0.9097825,0.23199,0.24068,0.939895,0.664545888,POINT (-145.34566528309756 63.25915954517359)
Gulkana,20210610,Landsat,1,1.20406,1.21209,1.16985,1.1279125,0.9224875,0.2297075,0.238645,0.9452025,0.671742676,POINT (-145.34277311996644 63.26166182845307)
Gulkana,20210610,Landsat,1,1.2254,1.23497,1.193005,1.1493075,0.9370075,0.2267375,0.23672,0.9442675,0.680593488,POINT (-145.34022891960288 63.26493478700626)
Gulkana,20210610,Landsat,1,1.288705,1.3076525,1.2694,1.230075,1.0086175,0.2297075,0.2397175,0.9455325,0.69354099,POINT (-145.340885295122 63.26718348250553)
Gulkana,20210610,Landsat,1,1.251525,1.2661825,1.2285075,1.1922625,0.9823,0.22517,0.234245,0.9472375,0.69020639,POINT (-145.34638798660154 63.26482952434054)
Gulkana,20210610,Landsat,1,1.2262525,1.23728,1.19636,1.1568425,0.947705,0.2245925,0.2332825,0.9554325,0.683884577,POINT (-145.35026613447394 63.26340014213926)
Gulkana,20210610,Landsat,1,1.202905,1.2178925,1.1772475,1.1393525,0.9401425,0.2320175,0.239195,0.957385,0.67072552,POINT (-145.35415061229935 63.26185278114266)
Gulkana,20210610,Landsat,1,1.28062,1.2943975,1.25444,1.2126125,0.99396,0.2307525,0.241065,0.9531775,0.689262503,POINT (-145.34495397296484 63.269294948582406)
Gulkana,20210610,Landsat,1,1.3113375,1.3296525,1.294755,1.25851,1.02751,0.2216225,0.231385,0.96217,0.707694819,POINT (-145.35316084583903 63.26543879219523)
Gulkana,20210610,Landsat,1,1.229965,1.241735,1.20109,1.15984,0.948035,0.2360325,0.2436775,0.95348,0.671520695,POINT (-145.36316021331118 63.26225151847992)
Gulkana,20210610,Landsat,1,1.2090925,1.2209725,1.17898,1.133385,0.9261725,0.23815,0.2461525,0.940445,0.66389816,POINT (-145.37376644610615 63.26219613411013)
Gulkana,20210610,Landsat,1,1.3392225,1.359655,1.331715,1.2864225,1.0352375,0.2226675,0.23331,0.9587875,0.71349716,POINT (-145.34419501472493 63.271114344469005)
Gulkana,20210610,Landsat,1,1.18107,1.182445,1.1386925,1.0940875,0.8920175,0.2259125,0.237105,0.9466325,0.66889686,POINT (-145.33769910716117 63.26567194931905)
Gulkana,20210610,Landsat,1,1.216875,1.22903,1.1854975,1.1430925,0.9358525,0.225885,0.236005,0.9455875,0.679909592,POINT (-145.3400632735017 63.26098153589712)
Gulkana,20210610,Landsat,1,1.204885,1.21649,1.1752675,1.13707,0.9381075,0.2429625,0.2495075,0.94006,0.657372217,POINT (-145.34499521056972 63.257146611321005)
Gulkana,20210610,Landsat,1,1.12926,1.1282975,1.0779725,1.033505,0.8548925,0.23331,0.2429075,0.943085,0.644149907,POINT (-145.33954038798683 63.254134341119816)
Gulkana,20210610,Landsat,1,1.18272,1.18899,1.140535,1.09505,0.9053,0.226435,0.237985,0.9441025,0.668705239,POINT (-145.33348205393733 63.25707127219308)
