site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_TOA,1,0.994,1.0363,1.0054,1.0395,1.016,0.9684,0.9078,0.8506,0.843,0.3219,0.0013,0.0195,0.997417304,POINT (-145.47192602149556 63.29299696563962)
Gulkana,20210615,Sentinel-2_TOA,1,0.9545,0.9582,0.9245,0.9225,0.9202,0.8794,0.8262,0.7515,0.7555,0.3039,0.0014,0.0185,0.996975915,POINT (-145.47370942374485 63.292041258398044)
Gulkana,20210615,Sentinel-2_TOA,1,0.9235,0.9471,0.9106,0.9144,0.8953,0.851,0.8035,0.745,0.7313,0.2949,0.0014,0.0182,0.996929825,POINT (-145.47562385884757 63.29211745554462)
Gulkana,20210615,Sentinel-2_TOA,1,0.9571,0.9584,0.9184,0.9309,0.9043,0.8625,0.8146,0.7504,0.7464,0.3051,0.0014,0.0179,0.99695586,POINT (-145.47844846307905 63.29253757224268)
Gulkana,20210615,Sentinel-2_TOA,1,1.0258,1.0404,1.0033,1.0264,1.0144,0.9684,0.91,0.8405,0.839,0.3353,0.0014,0.0199,0.997213098,POINT (-145.4809489161756 63.292062914518596)
Gulkana,20210615,Sentinel-2_TOA,1,1.0153,1.0709,1.0438,1.0693,1.0583,1.0151,0.9577,0.8869,0.8732,0.3292,0.0014,0.0191,0.997321087,POINT (-145.48325057194603 63.291836765072226)
Gulkana,20210615,Sentinel-2_TOA,1,1.0076,1.035,1.0022,1.0239,1.0031,0.9575,0.901,0.834,0.8253,0.3246,0.0014,0.0197,0.997210044,POINT (-145.48500479006225 63.292607428742215)
Gulkana,20210615,Sentinel-2_TOA,1,0.8896,0.9413,0.9003,0.918,0.9117,0.8745,0.8244,0.7585,0.7598,0.2866,0.0014,0.0177,0.996894754,POINT (-145.48922878327232 63.29525766387212)
Gulkana,20210615,Sentinel-2_TOA,1,0.7364,0.8494,0.8009,0.8097,0.812,0.7671,0.7318,0.6712,0.6635,0.2283,0.0014,0.0127,0.996510034,POINT (-145.49089914679834 63.295116140840975)
Gulkana,20210615,Sentinel-2_TOA,1,0.7019,0.8088,0.777,0.7821,0.771,0.7475,0.693,0.6418,0.6467,0.2218,0.0014,0.0142,0.996402878,POINT (-145.49155397013848 63.29477278663105)
Gulkana,20210615,Sentinel-2_TOA,1,0.7919,0.8887,0.8353,0.848,0.7736,0.7561,0.6874,0.6887,0.6567,0.2584,0.0015,0.0225,0.996414914,POINT (-145.49190798664824 63.29409188149821)
Gulkana,20210615,Sentinel-2_TOA,1,0.7964,0.7382,0.6982,0.7054,0.6862,0.6564,0.6441,0.584,0.568,0.2651,0.0017,0.0203,0.995142163,POINT (-145.49260977176297 63.29352610971259)
Gulkana,20210615,Sentinel-2_TOA,1,0.9217,0.9165,0.8764,0.8885,0.8795,0.8364,0.7881,0.7347,0.7269,0.312,0.0016,0.0189,0.996355353,POINT (-145.4910826151086 63.29363732420704)
Gulkana,20210615,Sentinel-2_TOA,1,0.9765,0.9854,0.9499,0.9703,0.9563,0.9152,0.863,0.7938,0.7977,0.3259,0.0016,0.0193,0.996636889,POINT (-145.49006254580547 63.29419971658731)
Gulkana,20210615,Sentinel-2_TOA,1,0.9435,1.0554,1.0206,1.0473,1.031,0.9774,0.9239,0.8554,0.8465,0.3235,0.0014,0.0203,0.997260274,POINT (-145.48818221466652 63.29362250495994)
Gulkana,20210615,Sentinel-2_TOA,1,0.9575,0.9931,0.9579,0.9754,0.9572,0.9031,0.857,0.7933,0.7833,0.3027,0.0013,0.0194,0.997289408,POINT (-145.48715893614414 63.292895147754464)
Gulkana,20210615,Sentinel-2_TOA,1,0.9553,0.9779,0.9394,0.9565,0.9399,0.8947,0.8431,0.7753,0.7728,0.301,0.0013,0.0185,0.997236101,POINT (-145.48587454460878 63.29175103195556)
Gulkana,20210615,Sentinel-2_TOA,1,0.9594,1.0033,0.9709,0.9924,0.9639,0.9224,0.8706,0.8129,0.7987,0.3098,0.0015,0.0202,0.99691485,POINT (-145.48830926331598 63.29187241523917)
Gulkana,20210615,Sentinel-2_TOA,1,0.93,0.9745,0.9378,0.9505,0.9229,0.8783,0.8287,0.7784,0.7659,0.301,0.0012,0.02,0.997444089,POINT (-145.48908085448372 63.292676706657474)
Gulkana,20210615,Sentinel-2_TOA,1,0.8508,0.929,0.8907,0.9123,0.891,0.8612,0.8071,0.7465,0.7507,0.2807,0.0014,0.02,0.996861338,POINT (-145.4906612100562 63.29290044257881)
Gulkana,20210615,Sentinel-2_TOA,1,0.97,1.0156,0.9869,1.0127,0.9982,0.947,0.8889,0.8222,0.824,0.3242,0.0016,0.0196,0.996762772,POINT (-145.4892405325145 63.29368149539619)
Gulkana,20210615,Sentinel-2_TOA,1,0.7844,0.7797,0.7481,0.7684,0.7842,0.7485,0.7136,0.6383,0.6622,0.2693,0.0016,0.0141,0.995731626,POINT (-145.48680410482228 63.29561407008051)
Gulkana,20210615,Sentinel-2_TOA,1,0.8017,0.8732,0.8255,0.8359,0.8427,0.8071,0.7658,0.6909,0.6981,0.29,0.0016,0.0168,0.99613106,POINT (-145.4876221215066 63.294858490150375)
Gulkana,20210615,Sentinel-2_TOA,1,0.8266,0.9653,0.9408,0.9777,0.9305,0.9198,0.8437,0.818,0.7872,0.2845,0.0018,0.0316,0.996180777,POINT (-145.49757860410733 63.293776410509984)
Gulkana,20210615,Sentinel-2_TOA,1,0.8266,0.8495,0.8065,0.8178,0.7802,0.7392,0.707,0.6824,0.6555,0.2845,0.0018,0.0176,0.995546208,POINT (-145.49826505830757 63.293509792913454)
Gulkana,20210615,Sentinel-2_TOA,1,0.6993,0.6895,0.6373,0.6344,0.615,0.5918,0.5663,0.5316,0.5224,0.2301,0.0018,0.0131,0.994367079,POINT (-145.4995381563738 63.293047563790715)
Gulkana,20210615,Sentinel-2_TOA,1,0.7678,0.8138,0.7668,0.7694,0.751,0.7091,0.6641,0.6221,0.6068,0.2617,0.0017,0.0141,0.995575797,POINT (-145.4973207575854 63.292577384608656)
Gulkana,20210615,Sentinel-2_TOA,1,0.7385,0.5559,0.5005,0.4925,0.4856,0.4657,0.4409,0.3941,0.4117,0.2452,0.0014,0.0115,0.994421199,POINT (-145.4959216535381 63.29176988966972)
Gulkana,20210615,Sentinel-2_TOA,1,0.9178,0.9722,0.9432,0.967,0.9528,0.9037,0.8596,0.8023,0.79,0.3282,0.0016,0.0197,0.99661304,POINT (-145.49473781795962 63.29236274968264)
Gulkana,20210615,Sentinel-2_TOA,1,0.9352,0.9663,0.9315,0.9602,0.9546,0.912,0.8621,0.7875,0.792,0.3239,0.0018,0.0239,0.996142719,POINT (-145.49537319800191 63.2930757141472)
Gulkana,20210615,Sentinel-2_TOA,1,0.8351,0.9971,0.9862,1.0147,0.9782,0.9359,0.8858,0.843,0.8136,0.3248,0.002,0.0246,0.995952236,POINT (-145.4963757307425 63.293504283157105)
Gulkana,20210615,Sentinel-2_TOA,1,0.8165,0.8415,0.8054,0.8135,0.7943,0.7578,0.7125,0.6568,0.6619,0.2704,0.0019,0.0167,0.995292952,POINT (-145.4974858124226 63.293098005276555)
