site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_SR,1,0.8345,0.9232,0.94,0.9272,0.9491,0.8719,0.7939,0.7579,0.7175,0.6971,0.0168,0.016,0.964882943,POINT (-145.47192602149556 63.29299696563962)
Gulkana,20210615,Sentinel-2_SR,1,0.8717,0.8968,0.9088,0.8648,0.9021,0.8318,0.76,0.7041,0.6757,0.69,0.0166,0.0133,0.964123622,POINT (-145.47370942374485 63.292041258398044)
Gulkana,20210615,Sentinel-2_SR,1,0.8483,0.8968,0.9032,0.8664,0.881,0.8079,0.7423,0.7038,0.6566,0.6579,0.0164,0.0142,0.964332318,POINT (-145.47562385884757 63.29211745554462)
Gulkana,20210615,Sentinel-2_SR,1,0.8621,0.8984,0.9016,0.8712,0.8792,0.8089,0.7428,0.7001,0.6618,0.6824,0.0159,0.0126,0.965340599,POINT (-145.47844846307905 63.29253757224268)
Gulkana,20210615,Sentinel-2_SR,1,0.9048,0.948,0.9552,0.9296,0.9564,0.8807,0.8045,0.7608,0.7216,0.7389,0.0172,0.0137,0.964623612,POINT (-145.4809489161756 63.292062914518596)
Gulkana,20210615,Sentinel-2_SR,1,0.9114,0.9968,1.0104,0.984,1.0163,0.9375,0.8577,0.8124,0.7584,0.7579,0.0166,0.0131,0.967672833,POINT (-145.48325057194603 63.291836765072226)
Gulkana,20210615,Sentinel-2_SR,1,0.9071,0.9672,0.9736,0.9448,0.9643,0.8855,0.809,0.7651,0.719,0.7276,0.0171,0.0146,0.965478954,POINT (-145.48500479006225 63.292607428742215)
Gulkana,20210615,Sentinel-2_SR,1,1.023,1.1496,1.14,1.1024,1.1016,1.0164,0.9298,0.904,0.8317,0.819,0.0193,0.0172,0.966704046,POINT (-145.48922878327232 63.29525766387212)
Gulkana,20210615,Sentinel-2_SR,1,0.9819,1.2224,1.2,1.156,1.2312,1.1188,1.0368,0.9584,0.9139,0.7877,0.0172,0.0152,0.971738416,POINT (-145.49089914679834 63.295116140840975)
Gulkana,20210615,Sentinel-2_SR,1,0.8618,1.088,1.0912,1.048,1.0898,1.0147,0.9106,0.8544,0.8244,0.7135,0.0179,0.0153,0.967721576,POINT (-145.49155397013848 63.29477278663105)
Gulkana,20210615,Sentinel-2_SR,1,0.8201,0.9488,0.9304,0.9016,0.8703,0.8229,0.7264,0.7319,0.6781,0.6666,0.0239,0.0212,0.949910929,POINT (-145.49190798664824 63.29409188149821)
Gulkana,20210615,Sentinel-2_SR,1,0.7187,0.7012,0.7012,0.6844,0.6948,0.6431,0.6171,0.5708,0.5312,0.6027,0.0197,0.0177,0.945346095,POINT (-145.49260977176297 63.29352610971259)
Gulkana,20210615,Sentinel-2_SR,1,0.8485,0.8864,0.8864,0.8576,0.8859,0.8142,0.7478,0.7117,0.6732,0.6875,0.0179,0.0138,0.960411368,POINT (-145.4910826151086 63.29363732420704)
Gulkana,20210615,Sentinel-2_SR,1,0.8854,0.9448,0.9496,0.9216,0.9384,0.8665,0.7947,0.7508,0.715,0.7136,0.0173,0.0149,0.964215534,POINT (-145.49006254580547 63.29419971658731)
Gulkana,20210615,Sentinel-2_SR,1,0.8035,0.9504,0.9528,0.9288,0.958,0.8723,0.7991,0.7568,0.7111,0.7036,0.0172,0.0137,0.964536082,POINT (-145.48818221466652 63.29362250495994)
Gulkana,20210615,Sentinel-2_SR,1,0.8111,0.904,0.9088,0.88,0.903,0.8206,0.7577,0.7149,0.6732,0.6572,0.0169,0.0154,0.963487091,POINT (-145.48715893614414 63.292895147754464)
Gulkana,20210615,Sentinel-2_SR,1,0.8877,0.9352,0.9376,0.9088,0.9238,0.847,0.775,0.7329,0.6904,0.6911,0.0166,0.0137,0.965206456,POINT (-145.48587454460878 63.29175103195556)
