geometry,Class,Blue,Green,Red,NIR,NDSI,image_date,site_name
POINT (-145.47583358803644 63.29869276752685),1,[0.90915558],[0.91982131],[0.88336869],[0.74875443],[0.10252269],20210615,Gulkana
POINT (-145.47480248171345 63.29829180888198),1,[0.96760899],[0.97871167],[0.96352991],[0.82735656],[0.08380365],20210615,Gulkana
POINT (-145.4737758211282 63.2978073341598),1,[0.87097751],[0.85673947],[0.84089521],[0.69765491],[0.10234504],20210615,Gulkana
POINT (-145.47399379746776 63.29719692452704),1,[0.85134924],[0.854015],[0.81696648],[0.69765491],[0.10076891],20210615,Gulkana
POINT (-145.47475821003803 63.2967873278623),1,[0.84703534],[0.84521288],[0.82534154],[0.69472564],[0.09772289],20210615,Gulkana
POINT (-145.47545927013562 63.29640490151639),1,[0.8625654],[0.86176925],[0.84169283],[0.71116211],[0.09574934],20210615,Gulkana
POINT (-145.4770353151494 63.29703449631322),1,[0.91497935],[0.91332451],[0.89333899],[0.74175673],[0.10366124],20210615,Gulkana
POINT (-145.47621347563677 63.29735993504216),1,[0.85436898],[0.85191926],[0.8341154],[0.67161694],[0.11834462],20210615,Gulkana
POINT (-145.47563171654494 63.297827197205294),1,[0.86213401],[0.85967351],[0.8341154],[0.70514083],[0.09875464],20210615,Gulkana
POINT (-145.47653174114282 63.298366008593234),1,[0.84574117],[0.83913523],[0.81357658],[0.68740246],[0.09939667],20210615,Gulkana
POINT (-145.47883246652037 63.29816776842953),1,[0.7894447],[0.78275976],[0.75953755],[0.63630294],[0.10320673],20210615,Gulkana
POINT (-145.48033919521413 63.297766063546796),1,[0.98939422],[1.01496801],[1.00002121],[0.82947215],[0.10057028],20210615,Gulkana
POINT (-145.48198425092522 63.2970872972163),1,[1.08106471],[1.1281381],[1.14100127],[0.93573962],[0.09322184],20210615,Gulkana
POINT (-145.4832551406113 63.296460234529235),1,[1.24477742],[1.2582837],[1.30610946],[1.09945337],[0.06736558],20210615,Gulkana
POINT (-145.48219728879414 63.29539059836415),1,[1.02929784],[1.04011692],[1.04030123],[0.85843939],[0.09569246],20210615,Gulkana
POINT (-145.48011198755682 63.29620393162181),1,[1.00212024],[1.00134569],[0.9996224],[0.82507824],[0.0965096],20210615,Gulkana
POINT (-145.47951711429104 63.29692173673144),1,[0.97817806],[0.97619678],[0.97369962],[0.80945546],[0.09337839],20210615,Gulkana
POINT (-145.47780574227 63.29768332256013),1,[0.91584213],[0.93365321],[0.90649979],[0.73654913],[0.11801209],20210615,Gulkana
POINT (-145.47593786661105 63.29554660917425),1,[0.86795778],[0.85967351],[0.82873144],[0.68854162],[0.11053495],20210615,Gulkana
POINT (-145.47872589783606 63.295492842983876),1,[0.92921524],[0.94476064],[0.9332202],[0.75640309],[0.11072277],20210615,Gulkana
POINT (-145.48087157754588 63.29470802564481),1,[1.00276732],[1.03550629],[1.03013152],[0.85339453],[0.0964115],20210615,Gulkana
POINT (-145.4828744073168 63.29428373124221),1,[0.90743001],[0.90598941],[0.90630038],[0.76323806],[0.08551941],20210615,Gulkana
POINT (-145.48347938103043 63.29337105692137),1,[0.99888481],[1.02523715],[1.0359143],[0.86527436],[0.0846135],20210615,Gulkana
POINT (-145.48177822416778 63.29276805163728),1,[0.82977972],[0.83997353],[0.81736529],[0.67991654],[0.10530826],20210615,Gulkana
POINT (-145.48007448922164 63.2933904842629),1,[1.06596604],[1.10173174],[1.10770047],[0.90123931],[0.10009752],20210615,Gulkana
POINT (-145.47854744126442 63.294181895415655),1,[0.87356586],[0.87706817],[0.86322868],[0.70627999],[0.10786521],20210615,Gulkana
POINT (-145.4755032916021 63.29440002932569),1,[0.82654429],[0.82195014],[0.79582944],[0.65648237],[0.11192109],20210615,Gulkana
POINT (-145.47362109543425 63.29371143295197),1,[0.92878385],[0.95],[0.93860416],[0.77690799],[0.10023233],20210615,Gulkana
POINT (-145.47192602149556 63.29299696563962),1,[1.1682056],[1.18807633],[1.22255834],[1.00229919],[0.0848152],20210615,Gulkana
POINT (-145.47370942374485 63.292041258398044),1,[0.96221661],[0.96194573],[0.94777683],[0.77886084],[0.10517245],20210615,Gulkana
POINT (-145.47562385884757 63.29211745554462),1,[0.94258834],[0.95104787],[0.93042851],[0.79578552],[0.08888217],20210615,Gulkana
POINT (-145.47844846307905 63.29253757224268),1,[1.17899036],[1.2159497],[1.23611795],[1.00701857],[0.09398746],20210615,Gulkana
POINT (-145.4809489161756 63.292062914518596),1,[0.86385957],[0.86491286],[0.84029699],[0.68984352],[0.11260243],20210615,Gulkana
POINT (-145.48325057194603 63.291836765072226),1,[0.79117026],[0.76557467],[0.74019516],[0.62995619],[0.09718057],20210615,Gulkana
POINT (-145.48500479006225 63.292607428742215),1,[0.89858651],[0.90745643],[0.88795503],[0.77641978],[0.07781846],20210615,Gulkana
POINT (-145.48922878327232 63.29525766387212),1,[1.05453419],[1.07427752],[1.09912601],[0.92369706],[0.07536656],20210615,Gulkana
POINT (-145.49089914679834 63.295116140840975),1,[1.18675539],[1.22475182],[1.26483241],[1.0682078],[0.0682716],20210615,Gulkana
POINT (-145.49155397013848 63.29477278663105),1,[1.43351078],[1.3110964],[1.55756046],[1.27276862],[0.01483351],20210615,Gulkana
POINT (-145.49190798664824 63.29409188149821),1,[1.62591097],[1.31906023],[1.81160373],[1.48660547],[-0.05971675],20210615,Gulkana
POINT (-145.49260977176297 63.29352610971259),1,[1.86792106],[1.3266049],[2.03154858],[1.63681202],[-0.10467887],20210615,Gulkana
POINT (-145.4910826151086 63.29363732420704),1,[1.58255622],[1.32031767],[1.74400509],[1.43631963],[-0.04208097],20210615,Gulkana
POINT (-145.49006254580547 63.29419971658731),1,[1.34982102],[1.30837194],[1.45028002],[1.20083872],[0.0428554],20210615,Gulkana
POINT (-145.48818221466652 63.29362250495994),1,[1.1132033],[1.15119126],[1.16393297],[0.97219278],[0.08429869],20210615,Gulkana
POINT (-145.48715893614414 63.292895147754464),1,[1.14965581],[1.18514229],[1.20201952],[0.98781556],[0.09081019],20210615,Gulkana
POINT (-145.48587454460878 63.29175103195556),1,[1.15591097],[1.19121994],[1.21976665],[1.03354475],[0.07087275],20210615,Gulkana
POINT (-145.48830926331598 63.29187241523917),1,[1.31725103],[1.29265387],[1.41119644],[1.19286459],[0.04014827],20210615,Gulkana
POINT (-145.48908085448372 63.292676706657474),1,[1.33062414],[1.29956982],[1.44369962],[1.1946547],[0.04206322],20210615,Gulkana
POINT (-145.4906612100562 63.29290044257881),1,[1.81658559],[1.32220384],[1.95697073],[1.56943876],[-0.08549982],20210615,Gulkana
POINT (-145.4892405325145 63.29368149539619),1,[1.32178063],[1.30082727],[1.44389902],[1.21743793],[0.0331138],20210615,Gulkana
POINT (-145.48680410482228 63.29561407008051),1,[1.33946765],[1.29936025],[1.45885448],[1.25258919],[0.01832758],20210615,Gulkana
POINT (-145.4876221215066 63.294858490150375),1,[0.76162001],[0.76431723],[0.72065337],[0.6317463],[0.09496053],20210615,Gulkana
POINT (-145.49757860410733 63.293776410509984),1,[1.63130335],[1.32388043],[1.79864234],[1.5530023],[-0.07964241],20210615,Gulkana
POINT (-145.49826505830757 63.293509792913454),1,[1.88496099],[1.34127509],[2.11868901],[1.65715418],[-0.10534819],20210615,Gulkana
POINT (-145.4995381563738 63.293047563790715),1,[2.03206517],[1.33561659],[2.27542215],[1.77660338],[-0.14169525],20210615,Gulkana
POINT (-145.4973207575854 63.292577384608656),1,[1.87935291],[1.3460953],[2.0754179],[1.59547674],[-0.08477829],20210615,Gulkana
POINT (-145.4959216535381 63.29176988966972),1,[1.66257916],[1.31906023],[1.85487484],[1.52745253],[-0.07320969],20210615,Gulkana
POINT (-145.49473781795962 63.29236274968264),1,[1.34529142],[1.31340172],[1.46762834],[1.23013144],[0.03273804],20210615,Gulkana
POINT (-145.49537319800191 63.2930757141472),1,[1.32566315],[1.30585705],[1.42854476],[1.21109117],[0.0376511],20210615,Gulkana
POINT (-145.4963757307425 63.293504283157105),1,[1.38886186],[1.31989852],[1.51369113],[1.29115794],[0.01100726],20210615,Gulkana
POINT (-145.4974858124226 63.293098005276555),1,[1.67897201],[1.33519744],[1.84889266],[1.48090966],[-0.05174243],20210615,Gulkana
POINT (-145.49569281702372 63.29247372805911),1,[1.48247361],[1.32450916],[1.65327535],[1.39384519],[-0.02550662],20210615,Gulkana
POINT (-145.49257738666037 63.29141745647592),1,[1.45637448],[1.31738363],[1.60063216],[1.35609013],[-0.01447798],20210615,Gulkana
POINT (-145.4905759889095 63.291108002334575),1,[1.36233134],[1.30921024],[1.47859567],[1.26414354],[0.01751282],20210615,Gulkana
POINT (-145.4876366294234 63.290975941423696),1,[1.12334098],[1.15831679],[1.17589733],[0.98911746],[0.07879139],20210615,Gulkana
POINT (-145.489996449089 63.29177929048743),1,[1.52065168],[1.31570704],[1.64908782],[1.39124139],[-0.02790388],20210615,Gulkana
POINT (-145.49250023597878 63.292281441917495),1,[1.30387793],[1.29328259],[1.39903267],[1.16438556],[0.05244688],20210615,Gulkana
POINT (-145.46528122747017 63.26957175526821),1,[1.09098669],[1.1484668],[1.22116249],[1.01141248],[0.06345462],20210615,Gulkana
POINT (-145.46781724351231 63.26927473600342),1,[1.12787058],[1.19205824],[1.26742469],[1.06527853],[0.0561634],20210615,Gulkana
POINT (-145.47081921881627 63.26969619422702),1,[1.23097292],[1.26016987],[1.35915146],[1.1671521],[0.03832115],20210615,Gulkana
POINT (-145.46912619467545 63.27039152310211),1,[1.11881138],[1.17319656],[1.23591854],[1.03468391],[0.06273557],20210615,Gulkana
POINT (-145.4674244909503 63.27124890233467),1,[1.11536026],[1.17089124],[1.22734408],[1.01434175],[0.07163973],20210615,Gulkana
POINT (-145.46657087278336 63.272407289747854),1,[1.17036255],[1.22014119],[1.29155282],[1.05372418],[0.07318683],20210615,Gulkana
POINT (-145.464235386452 63.27163617291088),1,[1.01614043],[1.07176263],[1.10470938],[0.93020655],[0.07070842],20210615,Gulkana
POINT (-145.46920812817527 63.27292214988883),1,[1.21436439],[1.23439223],[1.31109461],[1.12028375],[0.04846038],20210615,Gulkana
POINT (-145.47119433862397 63.27213266872856),1,[1.16044057],[1.20798588],[1.26124311],[1.07748383],[0.05710076],20210615,Gulkana
POINT (-145.47283086690695 63.271144815703046),1,[1.21005048],[1.2517869],[1.33741621],[1.15673691],[0.039464],20210615,Gulkana
POINT (-145.4770380306227 63.27329798497584),1,[1.54933915],[1.3119347],[1.69854052],[1.42541623],[-0.0414567],20210615,Gulkana
POINT (-145.47380082590578 63.27323089980536),1,[1.1727352],[1.21553055],[1.27240984],[1.0830169],[0.05765104],20210615,Gulkana
POINT (-145.47184547811023 63.27343696141364),1,[1.21522717],[1.24319435],[1.32325838],[1.11865637],[0.05272898],20210615,Gulkana
POINT (-145.47053102753614 63.27377961073122),1,[1.31574117],[1.27882197],[1.42954179],[1.18586689],[0.03771473],20210615,Gulkana
POINT (-145.47089768407443 63.27501598703434),1,[1.2229922],[1.25031988],[1.31568095],[1.09326935],[0.06701282],20210615,Gulkana
POINT (-145.47365691244684 63.27459152645099),1,[1.17100964],[1.22181778],[1.26363598],[1.08838723],[0.05775702],20210615,Gulkana
POINT (-145.47554205798576 63.27435225552737),1,[1.2411106],[1.25849327],[1.34100552],[1.14827457],[0.04579532],20210615,Gulkana
POINT (-145.4755370516422 63.275811667610114),1,[1.13434144],[1.18053166],[1.20122189],[1.00766952],[0.07899737],20210615,Gulkana
POINT (-145.4728034431503 63.275749951098625),1,[1.08322166],[1.11221046],[1.13561731],[0.95738368],[0.07481021],20210615,Gulkana
POINT (-145.4705000211719 63.27572523478324),1,[1.12549793],[1.16984337],[1.20341536],[1.01922387],[0.06880533],20210615,Gulkana
POINT (-145.4617283086684 63.267327996857844),1,[1.136067],[1.21091992],[1.29713619],[1.14567077],[0.02768794],20210615,Gulkana
POINT (-145.46089357484308 63.26812979568276),1,[1.1041441],[1.16250827],[1.2476835],[1.04151888],[0.05489469],20210615,Gulkana
POINT (-145.4589294135393 63.26580582793841),1,[1.09271225],[1.16208912],[1.22614765],[1.07048613],[0.0410302],20210615,Gulkana
POINT (-145.46796700938177 63.265092532549176),1,[1.19732446],[1.25534966],[1.37071701],[1.18602963],[0.0283938],20210615,Gulkana
POINT (-145.46895775759225 63.268249157217824),1,[1.15828362],[1.21071035],[1.28497242],[1.08334237],[0.05552094],20210615,Gulkana
POINT (-145.46496984529628 63.26313081760279),1,[1.12290959],[1.20966248],[1.32206194],[1.19758398],[0.00501756],20210615,Gulkana
POINT (-145.46924589974486 63.2637992173076),1,[1.41776503],[1.31067726],[1.67780229],[1.48855831],[-0.0635463],20210615,Gulkana
POINT (-145.47149161118762 63.263964400704126),1,[1.63195044],[1.31235385],[1.84929147],[1.57594826],[-0.09126276],20210615,Gulkana
POINT (-145.47269718329343 63.26366700814067),1,[1.56486921],[1.31717406],[1.80023759],[1.47065721],[-0.05505468],20210615,Gulkana
POINT (-145.47236038100004 63.265299674599525),1,[1.48829738],[1.29328259],[1.68358507],[1.42818277],[-0.04956895],20210615,Gulkana
POINT (-145.4707242997271 63.26189670522538),1,[1.43609913],[1.3184315],[1.64091218],[1.40051742],[-0.03019031],20210615,Gulkana
POINT (-145.47086132735737 63.26285737590977),1,[1.51223956],[1.32786234],[1.73622826],[1.44901314],[-0.04362846],20210615,Gulkana
POINT (-145.4689659776197 63.26199065587067),1,[1.4509821],[1.3249283],[1.68597794],[1.44168996],[-0.04220375],20210615,Gulkana
POINT (-145.46780209390636 63.262683429886145),1,[1.31013309],[1.30564747],[1.52007213],[1.33883997],[-0.01255158],20210615,Gulkana
POINT (-145.47569043968653 63.277804329189266),1,[1.09228086],[1.12289874],[1.14140008],[0.99090757],[0.06244241],20210615,Gulkana
POINT (-145.4732089531484 63.27740210788721),1,[1.06984855],[1.10592323],[1.12345354],[0.96910077],[0.06593777],20210615,Gulkana
POINT (-145.47019152539244 63.27727582131217),1,[1.08322166],[1.11765939],[1.14359355],[0.9687753],[0.07135814],20210615,Gulkana
POINT (-145.47013186287933 63.278402114942736),1,[1.06035796],[1.09209133],[1.09992363],[0.95868558],[0.06505132],20210615,Gulkana
POINT (-145.47268038805558 63.279509441672126),1,[1.07157412],[1.1151445],[1.12584641],[0.94517839],[0.08249489],20210615,Gulkana
POINT (-145.474876621425 63.27939210611316),1,[1.13498853],[1.17089124],[1.19962664],[1.00327561],[0.07709419],20210615,Gulkana
POINT (-145.47718696384678 63.27908813474121),1,[1.08904543],[1.14490404],[1.15256682],[1.00132276],[0.0668994],20210615,Gulkana
POINT (-145.47912978294474 63.27784109311614),1,[1.21069757],[1.25954114],[1.32983878],[1.12565408],[0.05613254],20210615,Gulkana
POINT (-145.4692333935774 63.279613308115934),1,[1.1132033],[1.14343702],[1.15476029],[0.98390987],[0.07498878],20210615,Gulkana
POINT (-145.46949882226482 63.28050831652376),1,[1.05216154],[1.08370836],[1.10510819],[0.92044231],[0.08146396],20210615,Gulkana
POINT (-145.46986104168008 63.28154523063286),1,[0.97860945],[1.00239356],[1.00221468],[0.85583559],[0.07886969],20210615,Gulkana
POINT (-145.46990559487662 63.28267264304297),1,[1.08322166],[1.11388705],[1.11507849],[0.96031296],[0.07404016],20210615,Gulkana
POINT (-145.47016112503073 63.283755365408474),1,[1.19063791],[1.22160821],[1.26224014],[1.046401],[0.07725154],20210615,Gulkana
POINT (-145.47178439410217 63.28264585450496),1,[1.18934374],[1.22579969],[1.27599915],[1.09017734],[0.05855945],20210615,Gulkana
POINT (-145.4731841780867 63.281815664053546),1,[1.20250115],[1.22621884],[1.26682647],[1.05681619],[0.07420064],20210615,Gulkana
POINT (-145.4756039229377 63.28141897827059),1,[1.29481872],[1.28259431],[1.40242257],[1.18000835],[0.04165754],20210615,Gulkana
POINT (-145.47886736339726 63.28084344158556),1,[1.11083066],[1.15014339],[1.17270683],[0.98976841],[0.07494467],20210615,Gulkana
POINT (-145.48106614295068 63.28067908174362),1,[1.10284993],[1.13777851],[1.1551591],[0.98439808],[0.07227506],20210615,Gulkana
POINT (-145.48325503809963 63.28070240456469),1,[0.95035337],[0.96571807],[0.96273229],[0.8275193],[0.07706663],20210615,Gulkana
POINT (-145.4850565482299 63.280158109820135),1,[1.55084901],[1.30795279],[1.69495121],[1.39905279],[-0.03365342],20210615,Gulkana
POINT (-145.4839543520488 63.27930118645721),1,[1.65912804],[1.32618575],[1.82516334],[1.4880701],[-0.05752297],20210615,Gulkana
POINT (-145.4814356040281 63.27960304561851),1,[1.08969252],[1.13212001],[1.14917692],[0.96454413],[0.079925],20210615,Gulkana
POINT (-145.4789266915721 63.2797171437705),1,[1.13132171],[1.16166998],[1.18546882],[1.01173795],[0.06898476],20210615,Gulkana
POINT (-145.47713746887555 63.28002671559457),1,[1.15655805],[1.2037944],[1.23651676],[1.06511579],[0.06112124],20210615,Gulkana
POINT (-145.47555667107963 63.28033849585732),1,[1.21738412],[1.23502096],[1.28457361],[1.05177133],[0.08013392],20210615,Gulkana
POINT (-145.47366562224445 63.280599979374344),1,[1.18567692],[1.22118906],[1.25526092],[1.04754016],[0.07654016],20210615,Gulkana
POINT (-145.47168024143377 63.28067260377614),1,[1.11190913],[1.15140084],[1.17091218],[1.00685583],[0.06697304],20210615,Gulkana
POINT (-145.48023671963514 63.27860419521003),1,[1.36276274],[1.30082727],[1.46503606],[1.27569789],[0.0097532],20210615,Gulkana
POINT (-145.47315685140566 63.27838761619288),1,[1.07157412],[1.09272005],[1.10809928],[0.92646359],[0.08233845],20210615,Gulkana
POINT (-145.4729828225808 63.28364777095106),1,[1.45313905],[1.28636664],[1.60561731],[1.33704986],[-0.01931955],20210615,Gulkana
POINT (-145.47400709198257 63.28418848571602),1,[1.6610693],[1.27735495],[1.83014849],[1.49132485],[-0.07728228],20210615,Gulkana
POINT (-145.47594494295845 63.2826757735093),1,[1.12010555],[1.15056254],[1.18427238],[0.98521177],[0.07741959],20210615,Gulkana
POINT (-145.47741996057604 63.281715710436984),1,[1.16475447],[1.1899625],[1.22056428],[1.03517213],[0.0695645],20210615,Gulkana
POINT (-145.47933864884862 63.28173620459399),1,[1.12139972],[1.15014339],[1.1685193],[0.98000417],[0.07987203],20210615,Gulkana
POINT (-145.48131776793215 63.2817851981138),1,[1.12334098],[1.16250827],[1.18247773],[0.98911746],[0.08058595],20210615,Gulkana
POINT (-145.48354885857464 63.28175320364067),1,[1.01829738],[1.04556585],[1.04728044],[0.88822032],[0.08136656],20210615,Gulkana
POINT (-145.4852950300015 63.28152085237695),1,[1.12290959],[1.17026252],[1.18666525],[0.99546422],[0.08071115],20210615,Gulkana
POINT (-145.4874773402304 63.281237349441554),1,[1.94147315],[1.34211339],[2.06484938],[1.63713749],[-0.09902627],20210615,Gulkana
POINT (-145.48768404644838 63.28202021019802),1,[1.39684259],[1.31570704],[1.53383114],[1.27813895],[0.01448354],20210615,Gulkana
POINT (-145.48632237774353 63.2820057483415),1,[1.21134465],[1.2362784],[1.28876114],[1.06625496],[0.0738419],20210615,Gulkana
POINT (-145.48511861576736 63.282522690813636),1,[1.04914181],[1.07742113],[1.10251591],[0.9456666],[0.06512547],20210615,Gulkana
POINT (-145.48338409140553 63.282532116654075),1,[1.02735659],[1.06358923],[1.06941451],[0.91018986],[0.07771861],20210615,Gulkana
POINT (-145.48231576486842 63.28282742997918),1,[1.09745755],[1.12373704],[1.13681375],[0.97463384],[0.07105665],20210615,Gulkana
POINT (-145.4804588969918 63.282807635939164),1,[1.12549793],[1.14888595],[1.17111158],[0.98114333],[0.07875132],20210615,Gulkana
POINT (-145.47829696042976 63.28270091636087),1,[0.95186324],[0.95502978],[0.96392872],[0.79887753],[0.08903107],20210615,Gulkana
POINT (-145.4775749737412 63.283473870736344),1,[0.99241395],[1.00407015],[1.00361052],[0.86755268],[0.0729407],20210615,Gulkana
POINT (-145.47716685007273 63.28416653393793),1,[0.96998164],[0.98772336],[0.98705982],[0.84590862],[0.0773409],20210615,Gulkana
POINT (-145.47651551850214 63.28477295248501),1,[0.9447453],[0.97284359],[0.96532457],[0.78065095],[0.1096055],20210615,Gulkana
POINT (-145.47855820861432 63.28479478149958),1,[0.98917852],[1.01161482],[0.99762834],[0.85632381],[0.08313497],20210615,Gulkana
POINT (-145.48084996788512 63.28479135629502),1,[1.05906379],[1.09523494],[1.10510819],[0.91084081],[0.09191783],20210615,Gulkana
POINT (-145.48277472102524 63.284700343336674),1,[0.95941257],[0.99212442],[0.98047942],[0.84558314],[0.07974135],20210615,Gulkana
POINT (-145.48507817025455 63.284473927107705),1,[0.99759064],[1.01811163],[1.0327238],[0.8737367],[0.07631422],20210615,Gulkana
POINT (-145.48719150714294 63.28432909807004),1,[1.08494722],[1.10215089],[1.12145948],[0.95412894],[0.07198532],20210615,Gulkana
POINT (-145.48997550805413 63.28438651428915),1,[1.86101882],[1.3395985],[2.045507],[1.60865846],[-0.09126069],20210615,Gulkana
POINT (-145.48892549217152 63.28314862074186),1,[1.45378614],[1.31885065],[1.64549852],[1.37317755],[-0.02018066],20210615,Gulkana
POINT (-145.48705691696102 63.28335183621046),1,[1.14836163],[1.19415398],[1.21258804],[1.02166493],[0.07784438],20210615,Gulkana
POINT (-145.4857999819378 63.283700934342036),1,[1.01678752],[1.04472755],[1.05146797],[0.90058836],[0.07409552],20210615,Gulkana
POINT (-145.48400348931477 63.28370970962996),1,[0.97753098],[0.98751379],[0.98825626],[0.8371208],[0.08242362],20210615,Gulkana
POINT (-145.4820744109805 63.28388433547429),1,[1.01096374],[1.02733289],[1.01218498],[0.83907365],[0.10086722],20210615,Gulkana
POINT (-145.47952632759413 63.284052330305485),1,[1.07847637],[1.0874807],[1.09792957],[0.91263092],[0.08742001],20210615,Gulkana
POINT (-145.47944362192487 63.283270779843626),1,[1.02541533],[1.04137437],[1.06123886],[0.90140204],[0.07204757],20210615,Gulkana
POINT (-145.4827241415224 63.28330575644334),1,[0.98508031],[1.00826164],[1.01697073],[0.85160442],[0.08423037],20210615,Gulkana
POINT (-145.48527360296075 63.28310983876698),1,[1.04353373],[1.08077432],[1.07759016],[0.91197997],[0.08470405],20210615,Gulkana
POINT (-145.4873999770097 63.2827142176306),1,[1.28273979],[1.29286345],[1.37709801],[1.1632464],[0.05277331],20210615,Gulkana
POINT (-145.4703963268895 63.28454009852081),1,[1.09012391],[1.13232958],[1.15117098],[0.96047569],[0.08211652],20210615,Gulkana
POINT (-145.46799241668174 63.28549010595337),1,[1.18502983],[1.20400397],[1.23751379],[1.02557062],[0.08003022],20210615,Gulkana
POINT (-145.46841962391343 63.286777228262736),1,[1.82219367],[1.29412089],[1.94101824],[1.50711037],[-0.07603424],20210615,Gulkana
POINT (-145.46911961615092 63.28759330205217),1,[1.69881597],[1.28301346],[1.81499364],[1.42574171],[-0.05269145],20210615,Gulkana
POINT (-145.47055240132775 63.28627039945192),1,[1.05302432],[1.07071476],[1.06961392],[0.8981473],[0.08764832],20210615,Gulkana
POINT (-145.47165921885056 63.28759268572147),1,[0.72408903],[0.71800132],[0.6917395],[0.5777175],[0.10826718],20210615,Gulkana
POINT (-145.47337340465592 63.28680251358093),1,[0.66283157],[0.62515994],[0.57628341],[0.48983935],[0.12136383],20210615,Gulkana
POINT (-145.47293123690878 63.285794057890804),1,[0.85070216],[0.84500331],[0.82235045],[0.70465262],[0.09056894],20210615,Gulkana
POINT (-145.4745480448935 63.28567197330976),1,[0.94150987],[0.94371277],[0.93780653],[0.79008971],[0.08860471],20210615,Gulkana
POINT (-145.4751037715546 63.286876806114876),1,[0.77218908],[0.76934701],[0.76093339],[0.59838515],[0.1249966],20210615,Gulkana
POINT (-145.47716865773984 63.28648067646788),1,[0.91390087],[0.91772557],[0.92285108],[0.7298769],[0.11401334],20210615,Gulkana
POINT (-145.47739404850978 63.28573029844013),1,[0.86666361],[0.87308626],[0.8373059],[0.72759858],[0.09089089],20210615,Gulkana
POINT (-145.48048473885774 63.28584693846587),1,[1.12139972],[1.14720935],[1.15715316],[0.9783768],[0.0794287],20210615,Gulkana
POINT (-145.48277511740636 63.28587134785755),1,[1.02174851],[1.03550629],[1.04109885],[0.869831],[0.08695326],20210615,Gulkana
POINT (-145.4852614414517 63.285702637220005),1,[0.95251033],[0.96969998],[0.96293169],[0.82914667],[0.07813523],20210615,Gulkana
POINT (-145.48751472895694 63.285252600431285),1,[1.06575034],[1.1078094],[1.11467968],[0.95477989],[0.07419291],20210615,Gulkana
POINT (-145.4904612115258 63.28575782567734),1,[1.52151446],[1.32471873],[1.67241833],[1.39807636],[-0.02694203],20210615,Gulkana
POINT (-145.48882550192795 63.286242341723685),1,[1.22514915],[1.25870285],[1.31468392],[1.10075527],[0.06694231],20210615,Gulkana
POINT (-145.48646003643128 63.28646816057992),1,[0.97386416],[0.98311273],[0.98945269],[0.81808053],[0.09162381],20210615,Gulkana
POINT (-145.48440551729533 63.286669367575804),1,[0.95251033],[0.98122656],[0.98067883],[0.84786146],[0.07291344],20210615,Gulkana
POINT (-145.48204144837766 63.28686724749641),1,[1.02757228],[1.03445842],[1.03491727],[0.86657626],[0.08831094],20210615,Gulkana
POINT (-145.48037296716825 63.2867936994534),1,[1.15957779],[1.17843591],[1.21198982],[0.99025662],[0.08677085],20210615,Gulkana
POINT (-145.47863818540205 63.286803066806876),1,[1.05582836],[1.0931392],[1.10650403],[0.94664302],[0.07181952],20210615,Gulkana
POINT (-145.47674871821346 63.28739626031043),1,[0.92468564],[0.93428193],[0.9366101],[0.7869977],[0.08556671],20210615,Gulkana
POINT (-145.47442435552577 63.288012654415816),1,[0.70618632],[0.69264284],[0.65245651],[0.53312748],[0.13013479],20210615,Gulkana
POINT (-145.47782628100663 63.28810480139934),1,[1.2275218],[1.24130818],[1.29853203],[1.06658043],[0.07570892],20210615,Gulkana
POINT (-145.48012123726159 63.288045658040915),1,[1.03965122],[1.08119347],[1.08197709],[0.90189026],[0.09041636],20210615,Gulkana
POINT (-145.4827286473943 63.2879340435673),1,[0.88780174],[0.90892345],[0.87838354],[0.74663885],[0.09802386],20210615,Gulkana
POINT (-145.48508256294775 63.287931210184446),1,[0.91368518],[0.91290536],[0.91886296],[0.77479241],[0.08183512],20210615,Gulkana
POINT (-145.48777228746215 63.287430046042296),1,[1.05496558],[1.08370836],[1.08756046],[0.91897768],[0.08225487],20210615,Gulkana
POINT (-145.48939641725443 63.28716846593614),1,[1.2866223],[1.29223472],[1.37450573],[1.14225329],[0.06160697],20210615,Gulkana
POINT (-145.4924297735078 63.28720059464325),1,[2.02257458],[1.34274211],[2.21161222],[1.74942625],[-0.1315207],20210615,Gulkana
POINT (-145.49250265445843 63.28817719645674),1,[1.94212024],[1.31612619],[2.13962664],[1.71931984],[-0.13282847],20210615,Gulkana
POINT (-145.4900176153369 63.288318167501465),1,[1.42186324],[1.32723362],[1.53223589],[1.26853745],[0.02261223],20210615,Gulkana
POINT (-145.48899208743174 63.28897643707948),1,[1.29438733],[1.28951026],[1.36254137],[1.13606927],[0.06325952],20210615,Gulkana
POINT (-145.49071245151546 63.2868757232332),1,[1.47945388],[1.33561659],[1.60681375],[1.34128103],[-0.00211605],20210615,Gulkana
POINT (-145.48805554596612 63.28793490859105),1,[1.12981184],[1.15454445],[1.1683199],[0.98830378],[0.0775793],20210615,Gulkana
POINT (-145.48598140876868 63.287327383982856),1,[0.91907756],[0.92652769],[0.91407722],[0.79025245],[0.07937838],20210615,Gulkana
POINT (-145.4657047646309 63.27587972689127),1,[1.1179486],[1.15705934],[1.1750997],[0.98211976],[0.08177884],20210615,Gulkana
POINT (-145.46715690922613 63.27683529106844),1,[1.11924277],[1.1606221],[1.18387357],[0.98342166],[0.08264778],20210615,Gulkana
POINT (-145.46708710511584 63.278150440410016),1,[1.11536026],[1.14532319],[1.17310564],[1.00913415],[0.06321268],20210615,Gulkana
