,geometry,Class,B2,B3,B4,B5,B6,B8,B11,B12,NDSI,image_date,site_name
2680,POINT (-145.429012042781 63.27438206175406),3,0.2175,0.2374,0.246,0.237,0.257,0.2291,0.1991,0.1804,0.0877434135166094,20210802,Gulkana
2681,POINT (-145.42728966114274 63.27332779036966),3,0.2289,0.268,0.293,0.2862,0.3013,0.2774,0.2308,0.199,0.0745789895749799,20210802,Gulkana
2682,POINT (-145.42706419759148 63.27474461239203),3,0.2302,0.248,0.2646,0.2546,0.2749,0.2418,0.2068,0.1826,0.090589270008795,20210802,Gulkana
2683,POINT (-145.42348299522115 63.27310202810966),3,0.1763,0.2624,0.2922,0.2566,0.2659,0.2192,0.1867,0.1656,0.1685593409040303,20210802,Gulkana
2684,POINT (-145.4247930545701 63.274235276167424),3,0.2278,0.2124,0.2204,0.2208,0.2466,0.2223,0.1861,0.1618,0.0659974905897114,20210802,Gulkana
2685,POINT (-145.4242350359232 63.28494600968323),3,0.3436,0.3636,0.3738,0.3442,0.334,0.2852,0.2362,0.208,0.2124041347115705,20210802,Gulkana
2686,POINT (-145.42148811476184 63.28468962178798),3,0.295,0.2906,0.3064,0.2888,0.2942,0.2441,0.2,0.1696,0.1846718304117407,20210802,Gulkana
2687,POINT (-145.4212550221909 63.285892257422844),3,0.2407,0.264,0.2742,0.2476,0.2459,0.208,0.1741,0.1606,0.2052042912577037,20210802,Gulkana
2688,POINT (-145.42986035682176 63.281505459968365),3,0.2497,0.302,0.326,0.3056,0.3243,0.2763,0.2321,0.1962,0.1308743680958621,20210802,Gulkana
2689,POINT (-145.43212177040016 63.2814550417741),3,0.2735,0.344,0.3648,0.352,0.3282,0.2894,0.2527,0.241,0.1530082118317412,20210802,Gulkana
2690,POINT (-145.43230718855096 63.282662297642275),3,0.382,0.3704,0.4006,0.3768,0.4051,0.3424,0.2985,0.246,0.1074899088055015,20210802,Gulkana
2691,POINT (-145.43373465143253 63.282565010375095),3,0.3617,0.356,0.371,0.3576,0.3712,0.3303,0.2931,0.2352,0.0969034047142196,20210802,Gulkana
2692,POINT (-145.4182475841043 63.27644416251255),3,0.1228,0.1266,0.1348,0.1272,0.1298,0.1198,0.1084,0.0997,0.0774468085106382,20210802,Gulkana
2693,POINT (-145.41686601249077 63.27752065285995),3,0.2152,0.2236,0.2322,0.2224,0.2333,0.2091,0.1848,0.1642,0.0950048971596474,20210802,Gulkana
2694,POINT (-145.41893947473463 63.2785693503449),3,0.1334,0.166,0.174,0.167,0.178,0.1634,0.1459,0.1364,0.0644437319653735,20210802,Gulkana
2695,POINT (-145.41610990080596 63.279249264744436),3,0.2016,0.205,0.218,0.2008,0.2041,0.1831,0.1681,0.1534,0.0989010989010988,20210802,Gulkana
2696,POINT (-145.41852259334448 63.28081457211873),3,0.1373,0.1604,0.1814,0.176,0.1597,0.1601,0.1417,0.1388,0.0619000331016219,20210802,Gulkana
2697,POINT (-145.4184493883351 63.29230959847401),3,0.2337,0.2388,0.2568,0.2422,0.2503,0.2082,0.1849,0.1592,0.1272126504602313,20210802,Gulkana
2698,POINT (-145.4202285401448 63.29224666304469),3,0.3129,0.3828,0.4002,0.3636,0.3509,0.2977,0.2519,0.2362,0.2062391681109184,20210802,Gulkana
2699,POINT (-145.42233946961528 63.29283497243143),3,0.388,0.4144,0.4248,0.3934,0.3996,0.3515,0.2927,0.2636,0.1721114410974402,20210802,Gulkana
2700,POINT (-145.42486275891835 63.292601094533936),3,0.4031,0.3552,0.3724,0.3564,0.3754,0.3185,0.2673,0.223,0.1412048192771084,20210802,Gulkana
2701,POINT (-145.42098471615566 63.29185546563458),3,0.2789,0.3806,0.398,0.3762,0.3777,0.3362,0.2773,0.2476,0.1570147438820489,20210802,Gulkana
2702,POINT (-145.41538286579097 63.29264411270959),3,0.3149,0.3152,0.3304,0.3054,0.3327,0.2751,0.2279,0.1914,0.1607438777389062,20210802,Gulkana
2703,POINT (-145.41729191877846 63.2950299916708),3,0.4435,0.3128,0.3376,0.3472,0.3347,0.2994,0.2657,0.257,0.0814174589455488,20210802,Gulkana
2704,POINT (-145.41248132816617 63.292013694819715),3,0.1441,0.197,0.2236,0.2208,0.2173,0.1975,0.173,0.162,0.0648648648648649,20210802,Gulkana
2705,POINT (-145.4022894534998 63.29437824085155),3,0.4106,0.3914,0.4192,0.386,0.383,0.317,0.2648,0.2193,0.1929289850655288,20210802,Gulkana
2706,POINT (-145.40966833959538 63.26576771085696),3,0.1202,0.1512,0.1592,0.139,0.1416,0.1275,0.1071,0.0985,0.1707317073170731,20210802,Gulkana
2707,POINT (-145.41022880777018 63.264901308164475),3,0.1256,0.2136,0.2254,0.1982,0.1648,0.1514,0.1289,0.1384,0.2472992700729927,20210802,Gulkana
2708,POINT (-145.41137574116584 63.266839096164034),3,0.2591,0.3438,0.3464,0.3124,0.336,0.2918,0.2407,0.2024,0.1763900769888793,20210802,Gulkana
2709,POINT (-145.41446893695925 63.26861889086016),3,0.2976,0.3152,0.3208,0.306,0.3173,0.276,0.2354,0.2064,0.1449328005811841,20210802,Gulkana
2710,POINT (-145.41322230332582 63.26952899833427),3,0.3064,0.3044,0.3154,0.2884,0.3022,0.2618,0.2214,0.1908,0.1578546976036515,20210802,Gulkana
2711,POINT (-145.4154419549633 63.2695793799965),3,0.2277,0.2474,0.2542,0.2366,0.2321,0.208,0.1767,0.1634,0.166705965574157,20210802,Gulkana
2712,POINT (-145.41629691172446 63.268536566036204),3,0.15,0.1932,0.206,0.1938,0.1862,0.1693,0.1455,0.1306,0.1408325952170062,20210802,Gulkana
2713,POINT (-145.41868172263815 63.268691400192104),3,0.1568,0.2086,0.2254,0.203,0.2053,0.1852,0.1648,0.1444,0.1173004820567755,20210802,Gulkana
2714,POINT (-145.4203478134911 63.26740090381963),3,0.1216,0.1494,0.1588,0.1446,0.1387,0.1204,0.1033,0.0933,0.1824297586070439,20210802,Gulkana
2715,POINT (-145.41281845812134 63.274928961565195),3,0.3775,0.3846,0.389,0.3522,0.381,0.3267,0.2746,0.2442,0.1668689320388349,20210802,Gulkana
2716,POINT (-145.4155775633753 63.275063499319394),3,0.3021,0.3066,0.3066,0.2864,0.283,0.249,0.2108,0.194,0.1851565519907228,20210802,Gulkana
2717,POINT (-145.41649845000939 63.27403556495464),3,0.214,0.2352,0.2346,0.217,0.2209,0.1995,0.1737,0.1576,0.1504035216434336,20210802,Gulkana
2718,POINT (-145.41013366007772 63.276586055681115),3,0.2921,0.3428,0.345,0.3012,0.2513,0.2341,0.1966,0.2022,0.2710418984056359,20210802,Gulkana
2719,POINT (-145.4097932753911 63.27858074708037),3,0.3027,0.313,0.319,0.302,0.3029,0.2668,0.2237,0.2062,0.1663871809204397,20210802,Gulkana
2720,POINT (-145.41460962373142 63.27694739957862),3,0.2791,0.334,0.337,0.3096,0.3391,0.2912,0.2476,0.2166,0.1485557083906465,20210802,Gulkana
2721,POINT (-145.41050429129157 63.286543313226076),3,0.2714,0.3108,0.3232,0.32,0.3094,0.2679,0.2281,0.2166,0.1534607533865281,20210802,Gulkana
2722,POINT (-145.40290727971373 63.285239933297866),3,0.2756,0.4368,0.4476,0.4392,0.4324,0.3645,0.3156,0.3111,0.1610845295055822,20210802,Gulkana
2723,POINT (-145.4046437936438 63.2837476473656),3,0.2368,0.2476,0.261,0.2644,0.2892,0.2618,0.2226,0.1965,0.0531688643130582,20210802,Gulkana
2724,POINT (-145.40609330044614 63.28200393397617),3,0.1758,0.2698,0.2842,0.2832,0.2908,0.2592,0.2211,0.1958,0.0992055408433489,20210802,Gulkana
2725,POINT (-145.38832177467157 63.292531352915724),3,0.3487,0.2422,0.2788,0.2752,0.2919,0.2668,0.2389,0.2149,0.0068592808147994,20210802,Gulkana
2726,POINT (-145.38502971215382 63.29124336650796),3,0.3893,0.352,0.3806,0.362,0.3455,0.3036,0.271,0.2547,0.1300160513643659,20210802,Gulkana
2727,POINT (-145.38427838600288 63.29073017510356),3,0.3917,0.3252,0.3602,0.3624,0.3541,0.3171,0.2849,0.2684,0.0660547451237502,20210802,Gulkana
2728,POINT (-145.38707086277867 63.29223194861705),3,0.3999,0.3062,0.346,0.345,0.3195,0.304,0.2691,0.2623,0.0644880931687815,20210802,Gulkana
2729,POINT (-145.38356352666918 63.29043681661281),3,0.4135,0.304,0.344,0.3436,0.3505,0.3229,0.2905,0.2658,0.0227081581160639,20210802,Gulkana
2730,POINT (-145.4101877822133 63.27355585007503),3,0.3364,0.405,0.4094,0.362,0.3668,0.3084,0.2588,0.228,0.2202470623681832,20210802,Gulkana
2731,POINT (-145.41174713918332 63.27339865939917),3,0.3796,0.392,0.3956,0.3596,0.3858,0.3313,0.2777,0.2432,0.170673435866806,20210802,Gulkana
2732,POINT (-145.41309889658984 63.2739956896663),3,0.3758,0.3442,0.3492,0.3244,0.3548,0.2998,0.2587,0.2258,0.1418145629457622,20210802,Gulkana
2733,POINT (-145.41325120257105 63.2725674223117),3,0.3504,0.331,0.3176,0.2984,0.3243,0.2789,0.2359,0.2054,0.167754454048333,20210802,Gulkana
2734,POINT (-145.41130030256616 63.27178912168769),3,0.3428,0.3506,0.3428,0.3168,0.3481,0.3008,0.2498,0.2154,0.1678880746169221,20210802,Gulkana
2735,POINT (-145.40998696142222 63.2721735250547),3,0.2303,0.3648,0.3508,0.3228,0.3429,0.2886,0.2446,0.22,0.1972431900229734,20210802,Gulkana
2736,POINT (-145.4101032491717 63.27018310242428),3,0.2325,0.25,0.2464,0.2186,0.2279,0.194,0.1664,0.1478,0.2007684918347742,20210802,Gulkana
2737,POINT (-145.41489226471205 63.27023648758961),3,0.2802,0.2868,0.2988,0.2856,0.289,0.2486,0.2137,0.1976,0.146053946053946,20210802,Gulkana
2738,POINT (-145.41682837026417 63.271024368502346),3,0.16,0.1414,0.1466,0.1366,0.156,0.1379,0.1196,0.1009,0.0835249042145593,20210802,Gulkana
2739,POINT (-145.41653189949474 63.27263195885591),3,0.1967,0.2344,0.2448,0.2298,0.2315,0.2083,0.1829,0.1628,0.1234124131320392,20210802,Gulkana
2740,POINT (-145.4196032780095 63.273620093570415),3,0.1507,0.1866,0.2042,0.1924,0.1934,0.1719,0.1515,0.1462,0.1038154392191659,20210802,Gulkana
2741,POINT (-145.42040599719496 63.27481761224372),3,0.1658,0.1986,0.2062,0.207,0.2193,0.1994,0.17,0.162,0.0775908844275637,20210802,Gulkana
2742,POINT (-145.42225725158207 63.273352365406225),3,0.1912,0.229,0.2358,0.2294,0.2272,0.2087,0.1828,0.1682,0.1121903836813987,20210802,Gulkana
2743,POINT (-145.4124731916544 63.27128868025805),3,0.3211,0.3334,0.3296,0.3056,0.3105,0.2753,0.23,0.2004,0.1835285764998224,20210802,Gulkana
2744,POINT (-145.41552056578556 63.26372283751205),3,0.3281,0.3156,0.3294,0.3088,0.3021,0.2609,0.2169,0.2066,0.1853521126760563,20210802,Gulkana
2745,POINT (-145.41697153033013 63.26580232346196),3,0.2986,0.3232,0.3218,0.2872,0.2744,0.2376,0.1883,0.1782,0.2637341153470185,20210802,Gulkana
2746,POINT (-145.4168524109688 63.26727973081246),3,0.2023,0.2306,0.2392,0.2216,0.2085,0.184,0.1543,0.148,0.1982333073525591,20210802,Gulkana
2747,POINT (-145.41778442584572 63.266292805733976),3,0.2268,0.3034,0.2916,0.2586,0.2677,0.2293,0.1852,0.1656,0.2419156774457634,20210802,Gulkana
2748,POINT (-145.4201678337523 63.26528759638955),3,0.2302,0.2846,0.2862,0.2596,0.2313,0.2052,0.1753,0.1612,0.2376603609480322,20210802,Gulkana
2749,POINT (-145.4212597632025 63.26416486766881),3,0.2521,0.2786,0.2718,0.2474,0.2498,0.2184,0.1829,0.1614,0.2073672806067172,20210802,Gulkana
2750,POINT (-145.41461118546252 63.2642973303926),3,0.3004,0.2542,0.2756,0.263,0.2807,0.2481,0.222,0.1706,0.0676186476270474,20210802,Gulkana
2751,POINT (-145.41236930370974 63.2661981438958),3,0.3166,0.302,0.3122,0.2894,0.3169,0.276,0.2258,0.1984,0.1443728685107995,20210802,Gulkana
2752,POINT (-145.41301930958883 63.26548321749264),3,0.2989,0.2952,0.3078,0.2788,0.2823,0.2466,0.2053,0.1968,0.1796203796203796,20210802,Gulkana
2753,POINT (-145.41569428128054 63.266819791861806),3,0.2799,0.2766,0.2758,0.2554,0.2441,0.2124,0.1924,0.1732,0.1795309168443497,20210802,Gulkana
2754,POINT (-145.41379854333084 63.27579851984106),3,0.3356,0.3648,0.373,0.3448,0.3417,0.3028,0.2556,0.2348,0.1760154738878143,20210802,Gulkana
2755,POINT (-145.41099010955259 63.2744051675265),3,0.3222,0.2504,0.2862,0.2558,0.2834,0.2602,0.228,0.1764,0.0468227424749163,20210802,Gulkana
2756,POINT (-145.41457774134076 63.27431942138232),3,0.3554,0.3272,0.3388,0.3146,0.3317,0.2937,0.2498,0.2128,0.1341421143847487,20210802,Gulkana
2757,POINT (-145.41501986373788 63.27304611380615),3,0.2732,0.3184,0.3364,0.3104,0.3125,0.2807,0.2352,0.212,0.1502890173410405,20210802,Gulkana
2758,POINT (-145.41938341829956 63.27240014043131),3,0.1531,0.1834,0.195,0.1854,0.2057,0.1819,0.1615,0.1338,0.0634966657002029,20210802,Gulkana
2759,POINT (-145.42227533630322 63.272932469148124),3,0.1847,0.2228,0.2408,0.2272,0.2016,0.1796,0.1597,0.1626,0.1649673202614378,20210802,Gulkana
2760,POINT (-145.4229497223915 63.274144273451896),3,0.159,0.1964,0.2006,0.1936,0.1814,0.1648,0.1434,0.1354,0.1559741024131842,20210802,Gulkana
2761,POINT (-145.42563022955224 63.274785360176026),3,0.2365,0.272,0.278,0.2614,0.251,0.2273,0.1948,0.1764,0.1653813196229649,20210802,Gulkana
2762,POINT (-145.42422267133767 63.27343576216024),3,0.2104,0.238,0.2478,0.2366,0.2377,0.2105,0.1761,0.1566,0.1494808017387104,20210802,Gulkana
2763,POINT (-145.4264993013318 63.28550809257544),3,0.3497,0.424,0.424,0.3816,0.3782,0.3074,0.2499,0.2176,0.2583469357471434,20210802,Gulkana
2764,POINT (-145.42301334433674 63.28491051684176),3,0.322,0.3306,0.3352,0.3066,0.3231,0.2618,0.222,0.1904,0.1965255157437568,20210802,Gulkana
2765,POINT (-145.4231937270586 63.28312361130514),3,0.2705,0.2602,0.2812,0.2698,0.313,0.2678,0.2354,0.2008,0.0500403551251008,20210802,Gulkana
2766,POINT (-145.41959047215502 63.2854316192678),3,0.1691,0.1884,0.21,0.1914,0.175,0.1566,0.1345,0.131,0.1669247445029421,20210802,Gulkana
2767,POINT (-145.4239774329904 63.286206958229556),3,0.2399,0.2546,0.2666,0.2608,0.2587,0.2209,0.1879,0.1788,0.1507344632768361,20210802,Gulkana
2768,POINT (-145.41653981144944 63.284447389030355),3,0.1237,0.1318,0.1422,0.1404,0.1439,0.13,0.1192,0.103,0.050199203187251,20210802,Gulkana
2769,POINT (-145.41331758521645 63.2850823779426),3,0.2412,0.249,0.2724,0.2486,0.2556,0.2265,0.1935,0.1699,0.1254237288135593,20210802,Gulkana
2770,POINT (-145.41434124946082 63.283025351837395),3,0.2212,0.232,0.2448,0.2362,0.2474,0.209,0.1776,0.1668,0.1328125,20210802,Gulkana
2771,POINT (-145.41361667825117 63.28189921782821),3,0.3015,0.3278,0.337,0.3232,0.3256,0.279,0.2368,0.2138,0.1611760538434289,20210802,Gulkana
2772,POINT (-145.4248995236661 63.297260170603884),3,0.3768,0.42,0.44,0.4264,0.4139,0.3659,0.3181,0.2934,0.138057173824685,20210802,Gulkana
2773,POINT (-145.42408457315517 63.29703215542754),3,0.457,0.442,0.4608,0.422,0.4186,0.3465,0.294,0.2584,0.2010869565217391,20210802,Gulkana
2774,POINT (-145.42312969404617 63.29669308439301),3,0.3759,0.4564,0.472,0.4468,0.4669,0.3969,0.3423,0.3118,0.1428571428571428,20210802,Gulkana
2775,POINT (-145.4161777883921 63.29300238949745),3,0.2903,0.3312,0.355,0.3216,0.3081,0.2592,0.2182,0.2066,0.2056789224608664,20210802,Gulkana
2776,POINT (-145.43925548087077 63.27347220180722),3,0.2101,0.2132,0.2224,0.2308,0.2239,0.2035,0.1893,0.1836,0.0593788819875776,20210802,Gulkana
2777,POINT (-145.4415914849032 63.27639597153413),3,0.2781,0.26,0.2756,0.2808,0.3104,0.2847,0.2456,0.226,0.0284810126582278,20210802,Gulkana
2778,POINT (-145.4394481572141 63.277350644136),3,0.2339,0.2608,0.302,0.312,0.2904,0.2606,0.2329,0.2366,0.0565120518533522,20210802,Gulkana
2779,POINT (-145.42903308549342 63.27506250534712),3,0.221,0.2434,0.2524,0.2432,0.2437,0.2238,0.2014,0.1848,0.0944244604316547,20210802,Gulkana
2780,POINT (-145.4346982705917 63.27662328820514),3,0.2375,0.354,0.3654,0.3388,0.3484,0.3042,0.2752,0.2558,0.1252383979656706,20210802,Gulkana
2781,POINT (-145.4366751312939 63.276605745923),3,0.2411,0.3238,0.3386,0.3422,0.323,0.2978,0.2811,0.2746,0.0705901801950735,20210802,Gulkana
2782,POINT (-145.43502977068545 63.275868030143904),3,0.2318,0.2766,0.3242,0.3016,0.3391,0.2943,0.2673,0.2308,0.0170987313844457,20210802,Gulkana
2783,POINT (-145.43632379164154 63.27558129900029),3,0.2325,0.2774,0.2952,0.2952,0.3036,0.2819,0.269,0.242,0.0153733528550511,20210802,Gulkana
2784,POINT (-145.43855497139546 63.27677029540335),3,0.2407,0.217,0.2402,0.238,0.2561,0.2398,0.2111,0.186,0.0137818266760102,20210802,Gulkana
2785,POINT (-145.4376370697055 63.27762380592055),3,0.2351,0.1826,0.2034,0.191,0.2153,0.1916,0.1466,0.141,0.1093560145808019,20210802,Gulkana
2786,POINT (-145.43947550242825 63.27479154281334),3,0.2114,0.2084,0.2156,0.2114,0.2423,0.2275,0.2042,0.1638,0.0101793504604944,20210802,Gulkana
2787,POINT (-145.442037237268 63.27470182732018),3,0.2466,0.3554,0.3804,0.3848,0.3531,0.3314,0.291,0.3146,0.0996287128712871,20210802,Gulkana
2788,POINT (-145.4374683815417 63.275907887947476),3,0.2281,0.2166,0.2374,0.243,0.2611,0.2401,0.2123,0.2008,0.0100256470039636,20210802,Gulkana
2789,POINT (-145.40924447958605 63.27543582128232),3,0.2189,0.3448,0.3518,0.3088,0.3022,0.2605,0.2186,0.202,0.2239971600993965,20210802,Gulkana
2790,POINT (-145.4212669534994 63.276328651848644),3,0.1724,0.1844,0.1976,0.1956,0.2192,0.1984,0.176,0.1554,0.02330743618202,20210802,Gulkana
2791,POINT (-145.40871874901683 63.28769486968306),3,0.3297,0.3144,0.3432,0.3356,0.3848,0.3237,0.286,0.2256,0.0473017988007995,20210802,Gulkana
2792,POINT (-145.4132554625255 63.28661993866252),3,0.2111,0.222,0.2366,0.2308,0.2599,0.2333,0.2096,0.1666,0.0287303058387395,20210802,Gulkana
2793,POINT (-145.41595520866787 63.28722583258091),3,0.1146,0.1274,0.1484,0.1466,0.1397,0.1304,0.1182,0.1116,0.0374592833876222,20210802,Gulkana
2794,POINT (-145.40666775108707 63.28481885710894),3,0.2571,0.2492,0.2624,0.238,0.2536,0.2295,0.2006,0.165,0.108048021342819,20210802,Gulkana
2795,POINT (-145.40810090807202 63.28308114424785),3,0.2279,0.3168,0.3322,0.2988,0.3146,0.2654,0.2182,0.1802,0.1842990654205607,20210802,Gulkana
2796,POINT (-145.3999390282746 63.28767506463685),3,0.2829,0.2684,0.2942,0.299,0.304,0.2813,0.2463,0.2154,0.0429376335729551,20210802,Gulkana
2797,POINT (-145.42505912383044 63.29332827998259),3,0.3651,0.4832,0.492,0.462,0.4444,0.3676,0.3122,0.2974,0.2149861704802615,20210802,Gulkana
2798,POINT (-145.4232382985837 63.29310189331431),3,0.3973,0.394,0.4168,0.3956,0.4298,0.3621,0.318,0.2713,0.1067415730337078,20210802,Gulkana
2799,POINT (-145.42273867833975 63.292460425351905),3,0.3413,0.4168,0.4376,0.4034,0.4236,0.3616,0.3048,0.2664,0.155210643015521,20210802,Gulkana
2800,POINT (-145.41869347120578 63.29310309320973),3,0.3717,0.3124,0.3294,0.292,0.3027,0.2597,0.2131,0.1785,0.1889628924833491,20210802,Gulkana
2801,POINT (-145.41691087897422 63.29287704941905),3,0.2903,0.2942,0.3296,0.2942,0.3173,0.2751,0.2311,0.2068,0.1201218351418237,20210802,Gulkana
2802,POINT (-145.4196397521627 63.29395578083776),3,0.5356,0.4228,0.45,0.4252,0.4602,0.4048,0.3575,0.281,0.0836857618864539,20210802,Gulkana
2803,POINT (-145.4139653573043 63.292964607600176),3,0.2997,0.3122,0.3216,0.2976,0.2995,0.2494,0.2097,0.1846,0.196397777351983,20210802,Gulkana
2804,POINT (-145.41411478454353 63.292330330536906),3,0.2633,0.3212,0.3394,0.322,0.3338,0.2787,0.236,0.2127,0.1529073941134242,20210802,Gulkana
2805,POINT (-145.4114308076084 63.292523872107914),3,0.1925,0.145,0.1638,0.1608,0.1631,0.1508,0.1306,0.1231,0.0522496371552975,20210802,Gulkana
2806,POINT (-145.40845709507246 63.269635619647424),3,0.1323,0.1544,0.1874,0.162,0.1463,0.1231,0.1066,0.1056,0.1831417624521073,20210802,Gulkana
2807,POINT (-145.40921391681394 63.26990473932787),3,0.2325,0.2446,0.2702,0.2306,0.2051,0.19,0.1515,0.1482,0.2350416561474375,20210802,Gulkana
2808,POINT (-145.4119447815068 63.268479848451165),3,0.3531,0.3696,0.3616,0.3408,0.3558,0.3033,0.2511,0.227,0.1909134847752537,20210802,Gulkana
2809,POINT (-145.41543276024186 63.26819287413392),3,0.2443,0.3008,0.3082,0.2884,0.2683,0.2287,0.198,0.1924,0.2060946271050521,20210802,Gulkana
2810,POINT (-145.41470882975287 63.28674014629313),3,0.1684,0.2432,0.2554,0.2492,0.2366,0.2213,0.2015,0.1932,0.0937710816280638,20210802,Gulkana
2811,POINT (-145.40306665163504 63.28802034643243),3,0.3001,0.3458,0.3594,0.3544,0.3548,0.3048,0.2625,0.2353,0.1369390103567318,20210802,Gulkana
2812,POINT (-145.40422966696482 63.28892045081164),3,0.3676,0.3776,0.403,0.3962,0.4626,0.4159,0.3648,0.2822,0.0172413793103448,20210802,Gulkana
2813,POINT (-145.40128876020924 63.28636273205179),3,0.2198,0.2408,0.2714,0.2522,0.2527,0.2187,0.1831,0.1662,0.1361170087284736,20210802,Gulkana
2814,POINT (-145.40439026025874 63.285101009233394),3,0.3038,0.324,0.3404,0.3242,0.3385,0.2789,0.234,0.2052,0.1612903225806451,20210802,Gulkana
2815,POINT (-145.40677643171344 63.28581007845051),3,0.2944,0.3558,0.3738,0.3286,0.3556,0.2982,0.2546,0.2229,0.1657929226736566,20210802,Gulkana
2816,POINT (-145.41126647848165 63.28501863904949),3,0.2707,0.2974,0.3162,0.3032,0.3154,0.282,0.2431,0.2143,0.1004625346901017,20210802,Gulkana
2817,POINT (-145.42799868605445 63.26155562646392),4,0.105,0.0928,0.0966,0.0896,0.099,0.0879,0.0916,0.0818,0.0065075921908893,20210802,Gulkana
2818,POINT (-145.4272957923406 63.26262276076777),4,0.0903,0.0971,0.1036,0.0956,0.0956,0.0917,0.089,0.0851,0.0435249865663622,20210802,Gulkana
2819,POINT (-145.42946643750167 63.26302438645715),4,0.0868,0.0935,0.1072,0.099,0.096,0.0894,0.0931,0.0921,0.0021436227224008,20210802,Gulkana
2820,POINT (-145.42710369023231 63.263782689110265),4,0.0784,0.0839,0.0861,0.08,0.0785,0.073,0.0737,0.0695,0.0647208121827411,20210802,Gulkana
2821,POINT (-145.4252643301401 63.264401486431964),4,0.0851,0.0922,0.0979,0.0906,0.0894,0.0834,0.0825,0.0799,0.0555237550085861,20210802,Gulkana
2822,POINT (-145.425278148771 63.265331279825766),4,0.0872,0.0884,0.0988,0.0912,0.0987,0.0928,0.0874,0.0818,0.005688282138794,20210802,Gulkana
2823,POINT (-145.42380794747672 63.2662737053622),4,0.0917,0.1036,0.1094,0.0979,0.0917,0.0826,0.0822,0.0788,0.1151776103336921,20210802,Gulkana
2824,POINT (-145.42566603515212 63.2664976193635),4,0.0994,0.0783,0.0882,0.0839,0.0932,0.0901,0.086,0.0784,-0.046865489957395,20210802,Gulkana
2825,POINT (-145.4286422748407 63.26513603408081),4,0.1242,0.1384,0.1466,0.1368,0.1462,0.1371,0.132,0.1262,0.0236686390532544,20210802,Gulkana
2826,POINT (-145.43022897432502 63.26204505337415),4,0.0877,0.072,0.0824,0.078,0.0816,0.0759,0.0751,0.0708,-0.0210740992522094,20210802,Gulkana
2827,POINT (-145.43174128831927 63.26031864516049),4,0.0855,0.1021,0.1136,0.1068,0.1025,0.0959,0.0927,0.097,0.0482546201232032,20210802,Gulkana
2828,POINT (-145.42999215023866 63.25928257390067),4,0.0896,0.0915,0.0982,0.0913,0.0885,0.0831,0.0826,0.0828,0.051120045950603,20210802,Gulkana
2829,POINT (-145.42991959861445 63.26061813122018),4,0.0856,0.101,0.1098,0.1015,0.102,0.0975,0.0962,0.0907,0.0243407707910751,20210802,Gulkana
2830,POINT (-145.43184637609002 63.25849882150354),4,0.0891,0.1056,0.1168,0.1009,0.094,0.0906,0.092,0.0993,0.0688259109311741,20210802,Gulkana
2831,POINT (-145.43426036799406 63.25886279995952),4,0.0919,0.0897,0.0955,0.0931,0.1004,0.0987,0.0964,0.0878,-0.0360021493820526,20210802,Gulkana
2832,POINT (-145.43054485644376 63.25747225060453),4,0.0904,0.1042,0.1106,0.1046,0.1091,0.1051,0.104,0.0995,0.0009606147934678,20210802,Gulkana
2833,POINT (-145.43279793590415 63.25734945465481),4,0.0888,0.0905,0.1018,0.0916,0.1014,0.0947,0.0955,0.0874,-0.0268817204301075,20210802,Gulkana
2834,POINT (-145.43560427845813 63.2573803204747),4,0.0873,0.1102,0.1258,0.1154,0.1192,0.1101,0.1131,0.107,-0.0129870129870129,20210802,Gulkana
2835,POINT (-145.43568870716595 63.25841456375756),4,0.0949,0.1254,0.1358,0.1266,0.1258,0.12,0.1184,0.1216,0.0287120590648072,20210802,Gulkana
2836,POINT (-145.43552215304538 63.26062698081795),4,0.1367,0.154,0.1642,0.153,0.1489,0.1427,0.1444,0.1376,0.0321715817694369,20210802,Gulkana
2837,POINT (-145.43793515574978 63.26014736208782),4,0.1444,0.1656,0.173,0.1618,0.1578,0.1527,0.1509,0.1582,0.0464454976303317,20210802,Gulkana
2838,POINT (-145.43987335758464 63.258924419448896),4,0.1398,0.1526,0.161,0.1514,0.1441,0.1384,0.1392,0.1434,0.04592186429061,20210802,Gulkana
2839,POINT (-145.44158926219248 63.25921735690544),4,0.1258,0.1308,0.1346,0.1282,0.1346,0.1314,0.1312,0.1284,-0.0015267175572519,20210802,Gulkana
2840,POINT (-145.43942860550237 63.2602270038462),4,0.1186,0.1432,0.1478,0.1434,0.1484,0.1436,0.1433,0.1402,-0.0003490401396161,20210802,Gulkana
2841,POINT (-145.43694604615516 63.26112764526715),4,0.1208,0.1428,0.1488,0.1398,0.1462,0.1363,0.1416,0.1344,0.0042194092827004,20210802,Gulkana
2842,POINT (-145.42692521516852 63.281100270285926),4,0.1367,0.166,0.1924,0.1994,0.1826,0.1807,0.1864,0.1874,-0.05788876276958,20210802,Gulkana
2843,POINT (-145.42406089011894 63.28104673109497),4,0.1369,0.148,0.1696,0.176,0.1755,0.1737,0.1742,0.1834,-0.0813159528243327,20210802,Gulkana
2844,POINT (-145.4246265004304 63.27958703840651),4,0.1156,0.1336,0.1566,0.1586,0.1567,0.1469,0.1474,0.1504,-0.0491103202846975,20210802,Gulkana
2845,POINT (-145.42529514051733 63.27801908353368),4,0.0986,0.1096,0.1202,0.113,0.1209,0.1174,0.1191,0.1142,-0.0415391342369916,20210802,Gulkana
