,geometry,Class,B2,B3,B4,B5,B6,B8,B11,B12,NDSI,image_date,site_name
38,POINT (-145.49190798664824 63.29409188149821),1,0.8201,0.9488,0.9304,0.9016,0.8703,0.8229,0.7264,0.7319,0.1327602674307545,20210615,Gulkana
39,POINT (-145.49260977176297 63.29352610971259),1,0.7187,0.7012,0.7012,0.6844,0.6948,0.6431,0.6171,0.5708,0.0637942805127816,20210615,Gulkana
40,POINT (-145.4910826151086 63.29363732420704),1,0.8485,0.8864,0.8864,0.8576,0.8859,0.8142,0.7478,0.7117,0.0848121404968791,20210615,Gulkana
41,POINT (-145.49006254580547 63.29419971658731),1,0.8854,0.9448,0.9496,0.9216,0.9384,0.8665,0.7947,0.7508,0.086289163552745,20210615,Gulkana
42,POINT (-145.48818221466652 63.29362250495994),1,0.8035,0.9504,0.9528,0.9288,0.958,0.8723,0.7991,0.7568,0.0864818519577022,20210615,Gulkana
43,POINT (-145.48715893614414 63.292895147754464),1,0.8111,0.904,0.9088,0.88,0.903,0.8206,0.7577,0.7149,0.0880423662514292,20210615,Gulkana
44,POINT (-145.48587454460878 63.29175103195556),1,0.8877,0.9352,0.9376,0.9088,0.9238,0.847,0.775,0.7329,0.0936732545901064,20210615,Gulkana
45,POINT (-145.48830926331598 63.29187241523917),1,0.8979,0.9712,0.9792,0.952,0.9678,0.8913,0.8169,0.7772,0.0862927129355181,20210615,Gulkana
46,POINT (-145.48908085448372 63.292676706657474),1,0.8665,0.932,0.9344,0.9008,0.9049,0.8315,0.7636,0.7367,0.0993158763859401,20210615,Gulkana
47,POINT (-145.4906612100562 63.29290044257881),1,0.7682,0.8968,0.8976,0.8776,0.8936,0.8342,0.7599,0.7192,0.0826341522303374,20210615,Gulkana
48,POINT (-145.4892405325145 63.29368149539619),1,0.8764,0.9376,0.9488,0.9256,0.945,0.863,0.7873,0.7475,0.0871354861151371,20210615,Gulkana
49,POINT (-145.48680410482228 63.29561407008051),1,0.8881,0.9064,0.9144,0.8976,0.9725,0.8916,0.8246,0.7428,0.0472559214326978,20210615,Gulkana
50,POINT (-145.4876221215066 63.294858490150375),1,0.6697,0.8384,0.8288,0.8008,0.8284,0.7667,0.708,0.6593,0.0843248836006208,20210615,Gulkana
51,POINT (-145.49757860410733 63.293776410509984),1,1.0474,1.3624,1.3832,1.368,1.4123,1.3508,1.2054,1.1432,0.0611418334761274,20210615,Gulkana
52,POINT (-145.49826505830757 63.293509792913454),1,1.0474,1.1664,1.1576,1.124,1.1053,1.0142,0.9475,0.9449,0.1035526751501963,20210615,Gulkana
53,POINT (-145.4995381563738 63.293047563790715),1,0.8038,0.8208,0.8,0.768,0.7857,0.7334,0.6861,0.6484,0.0893888114672506,20210615,Gulkana
54,POINT (-145.4973207575854 63.292577384608656),1,0.8573,0.9856,0.9744,0.9408,0.95,0.8711,0.7989,0.7696,0.1046231437377416,20210615,Gulkana
55,POINT (-145.4959216535381 63.29176988966972),1,0.8443,0.6944,0.6668,0.6432,0.6411,0.6013,0.5609,0.5268,0.1063490799012188,20210615,Gulkana
56,POINT (-145.49473781795962 63.29236274968264),1,0.8585,1.0408,1.0528,1.0264,1.0474,0.9596,0.8895,0.8496,0.0783815987152256,20210615,Gulkana
57,POINT (-145.49537319800191 63.2930757141472),1,0.8776,0.9392,0.944,0.9256,0.9591,0.8828,0.8097,0.757,0.0740465435416548,20210615,Gulkana
58,POINT (-145.4963757307425 63.293504283157105),1,0.9223,1.0832,1.1144,1.088,1.0964,1.0115,0.9311,0.9016,0.0755101027652285,20210615,Gulkana
59,POINT (-145.4974858124226 63.293098005276555),1,0.9515,0.98,0.9824,0.952,0.9702,0.8985,0.8266,0.7727,0.0849108823203808,20210615,Gulkana
60,POINT (-145.49569281702372 63.29247372805911),1,0.9326,1.0448,1.0528,1.0336,1.0422,0.9654,0.8918,0.8553,0.0790044407724878,20210615,Gulkana
61,POINT (-145.49257738666037 63.29141745647592),1,0.9238,1.0528,1.0672,1.0536,1.0876,1.0003,0.924,0.8654,0.065155807365439,20210615,Gulkana
62,POINT (-145.4905759889095 63.291108002334575),1,0.8335,1.0232,1.0368,1.0144,1.0196,0.9408,0.8675,0.8248,0.0823504522134659,20210615,Gulkana
63,POINT (-145.4876366294234 63.290975941423696),1,0.8613,0.904,0.9112,0.8744,0.8985,0.8286,0.7553,0.7083,0.0896161031760381,20210615,Gulkana
64,POINT (-145.489996449089 63.29177929048743),1,0.8631,0.9104,0.9144,0.8944,0.8835,0.8148,0.7509,0.7305,0.0960091494612652,20210615,Gulkana
65,POINT (-145.49250023597878 63.292281441917495),1,0.5985,0.9488,0.9496,0.9208,0.8322,0.8136,0.7317,0.7476,0.1291877417435287,20210615,Gulkana
66,POINT (-145.46528122747017 63.26957175526821),1,0.8185,0.8688,0.8864,0.864,0.8792,0.8077,0.7367,0.6932,0.0822796636561818,20210615,Gulkana
67,POINT (-145.46781724351231 63.26927473600342),1,0.8258,0.8832,0.904,0.8808,0.8989,0.8286,0.7518,0.7108,0.0803669724770642,20210615,Gulkana
68,POINT (-145.47081921881627 63.26969619422702),1,0.8327,0.9048,0.9176,0.8824,0.9013,0.8245,0.7514,0.6984,0.0926216640502355,20210615,Gulkana
69,POINT (-145.46912619467545 63.27039152310211),1,0.838,0.8936,0.9016,0.8696,0.8895,0.8108,0.7298,0.6916,0.1008993470494024,20210615,Gulkana
70,POINT (-145.4674244909503 63.27124890233467),1,0.8334,0.8888,0.904,0.8752,0.8941,0.8207,0.7461,0.6944,0.0872836259098416,20210615,Gulkana
71,POINT (-145.46657087278336 63.272407289747854),1,0.8285,0.8656,0.8816,0.8496,0.8688,0.7982,0.7167,0.6711,0.0941035201921254,20210615,Gulkana
72,POINT (-145.464235386452 63.27163617291088),1,0.7319,0.8216,0.8368,0.8028,0.8214,0.739,0.6703,0.6336,0.1014143039077686,20210615,Gulkana
73,POINT (-145.46920812817527 63.27292214988883),1,0.8478,0.8968,0.908,0.864,0.8855,0.8063,0.74,0.696,0.0957966764418377,20210615,Gulkana
74,POINT (-145.47119433862397 63.27213266872856),1,0.8593,0.9016,0.916,0.8792,0.9014,0.8286,0.7534,0.7021,0.0895468277945619,20210615,Gulkana
75,POINT (-145.47283086690695 63.271144815703046),1,0.8708,0.9352,0.9448,0.9096,0.9323,0.8525,0.7759,0.7292,0.0930980071299164,20210615,Gulkana
76,POINT (-145.4770380306227 63.27329798497584),1,0.8658,0.936,0.9312,0.8936,0.899,0.83,0.7605,0.7271,0.103448275862069,20210615,Gulkana
77,POINT (-145.47380082590578 63.27323089980536),1,0.8794,0.9232,0.9216,0.896,0.9071,0.8439,0.7673,0.7272,0.0922212363206152,20210615,Gulkana
78,POINT (-145.47184547811023 63.27343696141364),1,0.8628,0.9072,0.916,0.8824,0.8952,0.8252,0.7527,0.7148,0.0930778962588107,20210615,Gulkana
79,POINT (-145.47053102753614 63.27377961073122),1,0.8551,0.9056,0.9144,0.8752,0.8943,0.8203,0.7537,0.7084,0.0915446272524558,20210615,Gulkana
80,POINT (-145.47089768407443 63.27501598703434),1,0.887,0.9408,0.9472,0.9128,0.9269,0.8523,0.7833,0.7364,0.0913520097442143,20210615,Gulkana
81,POINT (-145.47365691244684 63.27459152645099),1,0.8808,0.9256,0.928,0.8944,0.9127,0.8365,0.7729,0.7276,0.0899028554607005,20210615,Gulkana
82,POINT (-145.47554205798576 63.27435225552737),1,0.8471,0.8904,0.8856,0.86,0.8877,0.8163,0.7542,0.706,0.0828164903319956,20210615,Gulkana
83,POINT (-145.4755370516422 63.275811667610114),1,0.8761,0.9048,0.8968,0.856,0.8647,0.7974,0.73,0.696,0.1069243944213359,20210615,Gulkana
84,POINT (-145.4728034431503 63.275749951098625),1,0.8664,0.8992,0.8992,0.8592,0.8704,0.7998,0.7407,0.6992,0.0966522348923714,20210615,Gulkana
85,POINT (-145.4705000211719 63.27572523478324),1,0.8619,0.912,0.9144,0.8792,0.8878,0.8148,0.752,0.7167,0.0961538461538461,20210615,Gulkana
86,POINT (-145.4617283086684 63.267327996857844),1,0.8243,0.9032,0.9112,0.8856,0.9076,0.8314,0.7563,0.7187,0.0885206387466104,20210615,Gulkana
87,POINT (-145.46089357484308 63.26812979568276),1,0.8266,0.8936,0.9112,0.8832,0.9106,0.8349,0.763,0.7144,0.0788361704696365,20210615,Gulkana
88,POINT (-145.4589294135393 63.26580582793841),1,0.7941,0.8928,0.8936,0.8632,0.8637,0.7997,0.7303,0.704,0.100117059947015,20210615,Gulkana
89,POINT (-145.46796700938177 63.265092532549176),1,0.831,0.9352,0.9368,0.9128,0.9347,0.8663,0.791,0.7483,0.0835360908353609,20210615,Gulkana
90,POINT (-145.46895775759225 63.268249157217824),1,0.7106,0.864,0.8768,0.8544,0.8609,0.791,0.7148,0.6884,0.0945021535343298,20210615,Gulkana
91,POINT (-145.46496984529628 63.26313081760279),1,0.8856,0.9632,0.9712,0.952,0.9621,0.8816,0.8111,0.7896,0.0857239474722425,20210615,Gulkana
92,POINT (-145.46924589974486 63.2637992173076),1,0.7855,1.0088,1.0144,0.9856,0.9852,0.9022,0.8314,0.7836,0.0964025649385935,20210615,Gulkana
93,POINT (-145.47149161118762 63.263964400704126),1,0.8217,0.884,0.864,0.8456,0.856,0.7831,0.7212,0.6884,0.1014203837528034,20210615,Gulkana
94,POINT (-145.47269718329343 63.26366700814067),1,0.5528,0.7632,0.7492,0.716,0.7192,0.6629,0.5829,0.568,0.1339425005571651,20210615,Gulkana
95,POINT (-145.47236038100004 63.265299674599525),1,0.5146,0.7284,0.732,0.6968,0.7993,0.7372,0.6631,0.556,0.0469277757815307,20210615,Gulkana
96,POINT (-145.4707242997271 63.26189670522538),1,0.7245,0.818,0.7992,0.7584,0.7694,0.7446,0.6617,0.6048,0.1056295194971953,20210615,Gulkana
97,POINT (-145.47086132735737 63.26285737590977),1,0.6269,0.8704,0.8464,0.8036,0.7825,0.7514,0.6916,0.6565,0.1144686299615877,20210615,Gulkana
98,POINT (-145.4689659776197 63.26199065587067),1,0.7119,0.7964,0.7768,0.7316,0.7407,0.6724,0.6237,0.5928,0.1216111541440743,20210615,Gulkana
99,POINT (-145.46780209390636 63.262683429886145),1,0.709,0.8744,0.864,0.8312,0.8627,0.7845,0.7307,0.6756,0.0895271322659023,20210615,Gulkana
100,POINT (-145.47569043968653 63.277804329189266),1,0.8788,0.9208,0.9168,0.8776,0.8984,0.8222,0.7521,0.7124,0.1008428477494171,20210615,Gulkana
101,POINT (-145.4732089531484 63.27740210788721),1,0.8976,0.9384,0.9328,0.8976,0.9131,0.8408,0.772,0.73,0.0972871842843779,20210615,Gulkana
102,POINT (-145.47019152539244 63.27727582131217),1,0.8974,0.9392,0.944,0.9032,0.9321,0.8555,0.7801,0.7332,0.0925376606758564,20210615,Gulkana
103,POINT (-145.47013186287933 63.278402114942736),1,0.8756,0.9208,0.9192,0.8872,0.9148,0.8386,0.769,0.7208,0.0898331163451295,20210615,Gulkana
104,POINT (-145.47268038805558 63.279509441672126),1,0.8809,0.9224,0.9256,0.896,0.9189,0.8419,0.7698,0.7317,0.0901784659023755,20210615,Gulkana
105,POINT (-145.474876621425 63.27939210611316),1,0.8867,0.9352,0.9384,0.9064,0.9238,0.8477,0.7776,0.7376,0.0920130780009341,20210615,Gulkana
106,POINT (-145.47718696384678 63.27908813474121),1,0.8868,0.9288,0.9288,0.8952,0.9198,0.842,0.7751,0.7324,0.0902048242267738,20210615,Gulkana
107,POINT (-145.47912978294474 63.27784109311614),1,0.7786,0.9208,0.92,0.8896,0.891,0.8243,0.7538,0.7352,0.0997253075361279,20210615,Gulkana
108,POINT (-145.4692333935774 63.279613308115934),1,0.8593,0.8976,0.8968,0.8656,0.8906,0.8176,0.7496,0.706,0.0898494414764448,20210615,Gulkana
109,POINT (-145.46949882226482 63.28050831652376),1,0.8525,0.9104,0.912,0.884,0.9044,0.8317,0.7591,0.7229,0.0906259359089547,20210615,Gulkana
110,POINT (-145.46986104168008 63.28154523063286),1,0.8729,0.9272,0.9384,0.9104,0.9346,0.8596,0.7972,0.7544,0.0753885409417768,20210615,Gulkana
111,POINT (-145.46990559487662 63.28267264304297),1,0.8584,0.9192,0.932,0.908,0.9266,0.8493,0.7848,0.7464,0.0788732394366196,20210615,Gulkana
112,POINT (-145.47016112503073 63.283755365408474),1,0.8318,0.8832,0.8928,0.8768,0.9011,0.8274,0.7573,0.7149,0.0767448948491313,20210615,Gulkana
113,POINT (-145.47178439410217 63.28264585450496),1,0.8948,0.9616,0.9728,0.948,0.9802,0.9043,0.8369,0.7872,0.0693355574089519,20210615,Gulkana
114,POINT (-145.4731841780867 63.281815664053546),1,0.9059,0.968,0.9776,0.9568,0.9878,0.9109,0.8385,0.7912,0.0716855798505397,20210615,Gulkana
115,POINT (-145.4756039229377 63.28141897827059),1,0.8616,0.9024,0.912,0.8776,0.894,0.8287,0.7632,0.7236,0.0835734870317002,20210615,Gulkana
116,POINT (-145.47886736339726 63.28084344158556),1,0.8716,0.9296,0.9368,0.9056,0.9216,0.8458,0.781,0.7371,0.0868701040570559,20210615,Gulkana
117,POINT (-145.48106614295068 63.28067908174362),1,0.8889,0.9288,0.9296,0.8992,0.9178,0.8438,0.7726,0.7292,0.0918067473845068,20210615,Gulkana
118,POINT (-145.48325503809963 63.28070240456469),1,0.9079,0.952,0.9528,0.9288,0.9493,0.8649,0.7968,0.7492,0.0887465690759378,20210615,Gulkana
119,POINT (-145.4850565482299 63.280158109820135),1,0.7263,0.8832,0.8768,0.84,0.8411,0.7744,0.7081,0.6933,0.1100358197699993,20210615,Gulkana
120,POINT (-145.4839543520488 63.27930118645721),1,0.7293,0.7592,0.7568,0.7212,0.733,0.6684,0.6138,0.576,0.1058994901675163,20210615,Gulkana
121,POINT (-145.4814356040281 63.27960304561851),1,0.9005,0.932,0.9352,0.9112,0.9231,0.8459,0.7771,0.7307,0.0906324966356562,20210615,Gulkana
122,POINT (-145.4789266915721 63.2797171437705),1,0.8858,0.9392,0.936,0.9064,0.9297,0.8518,0.7846,0.7396,0.0896855783733612,20210615,Gulkana
123,POINT (-145.47713746887555 63.28002671559457),1,0.8898,0.94,0.948,0.9152,0.9335,0.8594,0.7882,0.744,0.0878370558963082,20210615,Gulkana
124,POINT (-145.47555667107963 63.28033849585732),1,0.8836,0.9304,0.932,0.9056,0.9252,0.8517,0.7793,0.7408,0.0883780780253845,20210615,Gulkana
125,POINT (-145.47366562224445 63.280599979374344),1,0.8621,0.9016,0.9016,0.8744,0.8883,0.818,0.754,0.71,0.0891519690746556,20210615,Gulkana
126,POINT (-145.47168024143377 63.28067260377614),1,0.8459,0.884,0.8856,0.8552,0.8797,0.8067,0.7456,0.6984,0.0849288168875797,20210615,Gulkana
127,POINT (-145.48023671963514 63.27860419521003),1,0.8694,0.904,0.904,0.8712,0.8952,0.8218,0.7605,0.7176,0.0862120756984079,20210615,Gulkana
128,POINT (-145.47315685140566 63.27838761619288),1,0.8808,0.9192,0.916,0.8864,0.9035,0.8313,0.7605,0.7212,0.0944811573495267,20210615,Gulkana
129,POINT (-145.4729828225808 63.28364777095106),1,0.7739,0.776,0.7892,0.7592,0.7666,0.7191,0.6582,0.6299,0.0821363826523497,20210615,Gulkana
130,POINT (-145.47400709198257 63.28418848571602),1,0.7304,0.8344,0.8408,0.8192,0.759,0.7037,0.6279,0.6753,0.1412158927716611,20210615,Gulkana
131,POINT (-145.47594494295845 63.2826757735093),1,0.8979,0.9584,0.9768,0.9568,0.9969,0.9149,0.8465,0.7968,0.0619978946202005,20210615,Gulkana
132,POINT (-145.47741996057604 63.281715710436984),1,0.8617,0.9096,0.9128,0.8848,0.9065,0.8277,0.7642,0.7163,0.0868682040865097,20210615,Gulkana
133,POINT (-145.47933864884862 63.28173620459399),1,0.8486,0.8792,0.888,0.8504,0.871,0.7976,0.7334,0.6879,0.0904129976435569,20210615,Gulkana
134,POINT (-145.48131776793215 63.2817851981138),1,0.8678,0.908,0.9064,0.8808,0.9018,0.8275,0.7579,0.7167,0.0901014466654661,20210615,Gulkana
135,POINT (-145.48354885857464 63.28175320364067),1,0.8796,0.9272,0.9296,0.8992,0.9217,0.8451,0.774,0.7324,0.0900540794733129,20210615,Gulkana
136,POINT (-145.4852950300015 63.28152085237695),1,0.9025,0.9656,0.972,0.9392,0.9505,0.8744,0.7979,0.7653,0.0950949815707399,20210615,Gulkana
137,POINT (-145.4874773402304 63.281237349441554),1,0.5123,0.5992,0.5952,0.5616,0.5933,0.5344,0.501,0.462,0.0892564988183966,20210615,Gulkana
138,POINT (-145.48768404644838 63.28202021019802),1,0.7545,0.8552,0.8584,0.8328,0.8603,0.7839,0.7242,0.6796,0.0829428897049512,20210615,Gulkana
