dataset,ground distance median [m],ground distance IQR [m],elevation difference median [m],elevation difference IQR [m],N
Landsat,239.48106808974453,333.3185748156868,-57.751220703125,166.1453857421875,26
PlanetScope,153.9577071019765,236.34010040389785,-30.135498,53.0,77
Sentinel-2_SR,65.76976826163526,195.25664929581885,-6.5,32.321642773437475,35
Sentinel-2_TOA,80.44069434708679,248.000952424351,-11.68505859375,62.61997729492191,60
All datasets AVERAGE,134.91230945011077,253.22906923493863,-26.51794432421875,78.52175145263672,198
